"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant"
"1303","SLP",1,350,350,"1",2014,60,93,83,26,42,0.5,2015,0,NA,"1",64,107,93,1,0,1,2,186630.500376706,121249.768465298,166730.605311317,0.318526747802878,84,52,0,1,136,1,0,1,FALSE
"1304","SLP",1,355,350,"6",2014,62,92,89,43,177,0.5,2015,0,NA,"1",75,100,96,52,2,1,1,132904.030012565,132904.030012565,188495.559215388,0.349447159165965,354,86,2,52,440,54,3.98898404656427,1,FALSE
"1305","SLP",1,355,350,"6",2016,75,114,106,64,135,0.125,2017,0,NA,"1",83,130,112,36,138,0.125,1,132904.030012565,237268.785162369,316379.324167516,0.287748273504404,1080,512,1104,288,1592,1392,7.23849684089437,1,FALSE
"1306","SLP",1,355,350,"6",2015,75,100,96,52,2,1,2016,0,NA,"1",75,114,106,64,135,0.125,1,132904.030012565,188495.559215388,237268.785162369,0.230119165050635,2,52,1080,512,54,1592,7.37274636640433,1,FALSE
"1307","SLP",1,435,450,"2",2014,24,42,42,96,12,1,2015,0,NA,"1",34,50,44,0,4,1,2,24956.8120401173,11083.5388818648,19582.5942073764,0.569180097047887,12,96,4,0,108,4,1.38629436111989,1,FALSE
"1308","SLP",1,435,450,"1",2015,41,55,47,0,0,1,2016,0,NA,"1",45,67,55,38,28,0.25,2,24956.8120401173,27746.8081158928,43412.883481794,0.44763544074692,0,0,112,152,0,264,5.57594910314632,1,FALSE
"1309","SLP",1,435,450,"2",2016,36,58,52,47,69,0.25,2017,0,NA,"1",41,61,54,48,134,0.25,2,24956.8120401173,28425.1303296805,35357.0545198263,0.218224309857936,276,188,536,192,464,728,6.59030104819669,1,FALSE
"1310","SLP",1,435,450,"1",2014,32,46,36,27,2,1,2015,0,NA,"1",41,55,47,0,0,1,2,24956.8120401173,13873.2731582525,27746.8081158928,0.693156615901906,2,27,0,0,29,0,NA,0,FALSE
"1311","SLP",1,435,450,"1",2016,45,67,55,38,28,0.25,2017,0,NA,"1",50,68,57,67,142,0.25,2,24956.8120401173,43412.883481794,50736.7213554752,0.155893684045045,112,152,568,268,264,836,6.7286286130847,1,FALSE
"1312","SLP",1,435,450,"2",2015,34,50,44,0,4,1,2016,0,NA,"1",36,58,52,47,69,0.25,2,24956.8120401173,19582.5942073764,28425.1303296805,0.372632503621388,4,0,276,188,4,464,6.13988455222626,1,FALSE
"1313","SLP",1,440,450,"3",2015,15,22,19,0,0,1,2016,0,NA,"1",18,27,25,0,0,1,1,513.126800086333,1641.48216150067,3180.86256175967,0.661552815141729,0,0,0,0,0,0,NA,0,FALSE
"1314","SLP",1,440,450,"3",2016,18,27,25,0,0,1,2017,0,NA,"1",23,27,23,4,1,1,1,513.126800086333,3180.86256175967,3739.28065593525,0.161740849093933,0,0,1,4,0,5,1.6094379124341,1,FALSE
"1315","SLP",1,440,450,"3",2014,14,14,10,0,0,1,2015,0,NA,"1",15,22,19,0,0,1,1,513.126800086333,513.126800086333,1641.48216150067,1.1628318814024,0,0,0,0,0,0,NA,0,FALSE
"1316","SLP",1,445,450,"4",2015,58,98,83,30,18,1,2016,0,NA,"1",59,117,87,121,88,0.125,2,150420.241652043,123509.62078078,157226.502136045,0.24136840034447,18,30,704,968,48,1672,7.42177579364465,1,FALSE
"1317","SLP",1,445,450,"5",2016,58,95,84,7,10,0.5,2017,0,NA,"1",64,109,87,22,59,0.25,2,150420.241652043,121171.228648958,158889.190047957,0.271002383253125,20,14,236,88,34,324,5.78074351579233,1,FALSE
"1318","SLP",1,445,450,"5",2015,49,75,71,0,0,1,2016,0,NA,"1",58,95,84,7,10,0.5,2,150420.241652043,68310.0052614931,121171.228648958,0.573148412302022,0,0,20,14,0,34,3.52636052461616,1,FALSE
"1319","SLP",1,445,450,"5",2014,44,64,63,3,4,1,2015,0,NA,"1",49,75,71,0,0,1,2,150420.241652043,46445.3057906715,68310.0052614931,0.385780845018786,4,3,0,0,7,0,NA,0,FALSE
"1320","SLP",1,445,450,"4",2014,55,87,83,74,133,0.25,2015,0,NA,"1",58,98,83,30,18,1,2,150420.241652043,103974.935861371,123509.62078078,0.172169185329937,532,296,18,30,828,48,3.87120101090789,1,FALSE
"1321","SLP",1,445,450,"4",2016,59,117,87,121,88,0.125,2017,0,NA,"1",62,121,108,60,144,0.125,2,150420.241652043,157226.502136045,212114.052785076,0.299436660407993,704,968,1152,480,1672,1632,7.39756153552405,1,FALSE
"1322","SLP",1,45,50,"1",2016,71,119,109,18,39,0.5,2017,0,NA,"1",84,124,113,1,30,0.5,6,438522.87574276,241101.789999136,308139.973834701,0.245334930778704,78,36,60,2,114,62,4.12713438504509,1,FALSE
"1323","SLP",1,45,50,"1",2015,71,111,99,0,0,1,2016,0,NA,"1",71,119,109,18,39,0.5,6,438522.87574276,204260.856549265,241101.789999136,0.165821323893748,0,0,78,36,0,114,4.7361984483945,1,FALSE
"1324","SLP",1,45,50,"2",2014,48,77,61,1,0,1,2015,0,NA,"1",59,83,79,0,0,1,6,438522.87574276,59024.242775645,101280.496562142,0.539945607234452,0,1,0,0,1,0,NA,0,FALSE
"1325","SLP",1,45,50,"2",2016,62,97,86,12,63,0.5,2017,0,NA,"1",62,102,87,12,55,0.5,6,438522.87574276,135403.690567271,144038.881574438,0.0618226571819651,126,24,110,24,150,134,4.89783979995091,1,FALSE
"1326","SLP",1,45,50,"2",2015,59,83,79,0,0,1,2016,0,NA,"1",62,97,86,12,63,0.5,6,438522.87574276,101280.496562142,135403.690567271,0.290366755632643,0,0,126,24,0,150,5.01063529409626,1,FALSE
