"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant","seeds.emp","seeds.PMod","seeds.FMod","recruits","recruit.prob"
"11","FPS",1,0,0,"5",2016,68,94,72,16,354,1,2017,0,NA,"1",57,98,93,13,43,0.25,6,60.3777783154725,11.6992918425236,11.8204414757198,0.0103020474802683,354,16,172,52,370,224,5.41164605185504,1,FALSE,2442,2442,4090.16021361586,0,0
"12","FPS",1,0,0,"6",2016,48,48,28,9,47,1,2017,0,NA,"1",47,36,20,16,43,1,6,60.3777783154725,9.73442976805238,9.08922204978156,-0.0685797402199166,47,9,43,16,56,59,4.07753744390572,1,FALSE,2442,2442,4090.16021361586,0,0
"13","FPS",1,0,0,"5",2013,63,75,48,0,1,1,2014,0,NA,"1",59,90,56,0,22,1,6,60.3777783154725,10.9916470868971,11.2625220410325,0.024344951355815,1,0,22,0,1,22,3.09104245335832,1,FALSE,2442,2442,4090.16021361586,0,0
"14","FPS",1,0,0,"8",2016,56,91,75,12,160,1,2017,0,NA,"1",64,80,86,23,110,0.5,6,60.3777783154725,11.5135225468497,11.6550802503485,0.0122199397404227,160,12,220,46,172,266,5.5834963087817,1,FALSE,2442,2442,4090.16021361586,0,0
"15","FPS",1,0,0,"7",2013,55,63,59,0,2,1,2014,0,NA,"1",54,87,77,0,1,1,6,60.3777783154725,10.8878285915911,11.4585208231339,0.0510881075794506,2,0,1,0,2,1,0,1,FALSE,2442,2442,4090.16021361586,0,0
"16","FPS",1,0,0,"10",2016,64,61,42,19,202,1,2017,0,NA,"1",69,78,48,3,20,1,6,60.3777783154725,10.6672498018778,11.1218395782561,0.0417324232763811,202,19,20,3,221,23,3.13549421592915,1,FALSE,2442,2442,4090.16021361586,0,0
"17","FPS",1,0,0,"5",2015,NA,NA,NA,NA,NA,NA,2016,0,NA,"1",68,94,72,16,354,1,6,60.3777783154725,NA,11.6992918425236,NA,NA,NA,354,16,NA,370,5.91350300563827,1,FALSE,2442,2442,4090.16021361586,0,0
"18","FPS",1,0,0,"10",2013,62,32,16,0,0,1,2014,0,NA,"1",54,46,36,0,7,1,6,60.3777783154725,9.025282246146,10.0609676175709,0.108633567154219,0,0,7,0,0,7,1.94591014905531,1,FALSE,2442,2442,4090.16021361586,0,0
"19","FPS",1,0,0,"3",2014,16,23,13,0,0,1,2015,0,NA,"1",16,26,17,0,0,1,6,60.3777783154725,7.13285553169187,7.52372184037888,0.0533492915309668,0,0,0,0,0,0,NA,0,FALSE,2442,2442,4090.16021361586,0,0
"20","FPS",1,0,0,"9",2015,84,56,42,3,0,1,2016,0,NA,"1",78,60,52,11,176,1,6,60.3777783154725,10.8536613439232,11.0621203435545,0.0190242164029197,0,3,176,11,3,187,5.23110861685459,1,FALSE,2442,2442,4090.16021361586,0,0
"21","FPS",1,0,0,"1",2014,60,61,43,0,0,1,2015,0,NA,"1",56,68,44,3,4,1,6,60.3777783154725,10.6262417781504,10.6888722658909,0.00587664394908362,0,0,4,3,0,7,1.94591014905531,1,FALSE,2442,2442,4090.16021361586,0,0
"22","FPS",1,0,0,"2",2014,96,164,127,0,244,1,2015,0,NA,"1",92,162,127,49,61,1,6,60.3777783154725,13.168224941812,13.1133952348014,-0.00417248146720607,244,0,61,49,244,110,4.70048036579242,1,FALSE,2442,2442,4090.16021361586,0,0
"23","FPS",1,0,0,"1",2015,56,68,44,3,4,1,2016,0,NA,"1",58,69,51,5,103,1,6,60.3777783154725,10.6888722658909,10.8861983839294,0.018292558445025,4,3,103,5,7,108,4.68213122712422,1,FALSE,2442,2442,4090.16021361586,0,0
"24","FPS",1,0,0,"4",2014,41,71,47,0,0,1,2015,0,NA,"1",52,48,34,0,0,1,6,60.3777783154725,10.4862227815171,10.0086284901669,-0.0466147095689686,0,0,0,0,0,0,NA,0,FALSE,2442,2442,4090.16021361586,0,0
"25","FPS",1,0,0,"6",2014,36,39,24,0,0,1,2015,0,NA,"1",47,44,33,11,2,1,6,60.3777783154725,9.0849576509951,9.7906680331562,0.0748096500750684,0,0,2,11,0,13,2.56494935746154,1,FALSE,2442,2442,4090.16021361586,0,0
