"","site","transect","window","volume","weighted.dens"
"1","FPS",1,0,18703.4718631468,60.3777783154725
"2","FPS",1,0,550642.652357951,60.3777783154725
"3","FPS",1,0,10654.7114846498,60.3777783154725
"4","FPS",1,0,6073.48399755247,60.3777783154725
"5","FPS",1,0,30083.8912507759,60.3777783154725
"6","FPS",1,0,8310.5597662962,60.3777783154725
"7","FPS",1,5,157431.491056692,39.5484036383932
"8","FPS",1,5,10894.7815232616,39.5484036383932
"9","FPS",1,NA,90176.2755286414,NA
"10","FPS",1,NA,19726.0602718903,NA
"11","FPS",1,NA,13711.4811365927,NA
"12","FPS",1,NA,8915.83995088783,NA
"13","FPS",1,NA,30677.6522623043,NA
"14","FPS",1,NA,9853.60535798438,NA
"15","FPS",1,NA,10932.7424344925,NA
"16","FPS",1,NA,4172.82044213064,NA
"17","FPS",1,NA,61779.4195328433,NA
"18","FPS",1,NA,9373.72708014854,NA
"19","FPS",1,NA,2646.2682118738,NA
"20","FPS",1,5,7294.7781416355,39.5484036383932
"21","FPS",1,5,11976.5365936477,39.5484036383932
"22","FPS",1,10,5140.4309794363,37.8717551338248
"23","FPS",1,10,39734.8638826037,37.8717551338248
"24","FPS",1,10,11120.1907961567,37.8717551338248
"25","FPS",1,NA,14250.2642766833,NA
"26","FPS",1,NA,43558.1821420225,NA
"27","FPS",1,NA,33635.4617456591,NA
"28","FPS",1,NA,10659.4238736302,NA
"29","FPS",1,NA,11108.6716230935,NA
"30","FPS",1,NA,4247.4332676534,NA
"31","FPS",1,NA,1154.53530019425,NA
"32","FPS",1,NA,824.66807156732,NA
"33","FPS",1,NA,3323.805027498,NA
"34","FPS",1,NA,1048.24474874779,NA
"35","FPS",1,10,12337.0343506471,37.8717551338248
"36","FPS",1,NA,1880.24320317349,NA
"37","FPS",1,NA,13271.1345663145,NA
"38","FPS",1,NA,3576.70323611198,NA
"39","FPS",1,NA,28911.0299934357,NA
"40","FPS",1,NA,149063.33542508,NA
"41","FPS",1,15,48787.6249133105,44.4621790215354
"42","FPS",1,15,126040.697262022,44.4621790215354
"43","FPS",1,15,100280.946499525,44.4621790215354
"44","FPS",1,15,33085.6830312809,44.4621790215354
"45","FPS",1,NA,2089.15911463721,NA
"46","FPS",1,NA,25378.0472550862,NA
"47","FPS",1,NA,20011.945203367,NA
"48","FPS",1,NA,25069.9093756465,NA
"49","FPS",1,NA,6565.92864600267,NA
"50","FPS",1,NA,15682.8305267202,NA
"51","FPS",1,NA,9831.87600879705,NA
"52","FPS",1,NA,7634.0701482232,NA
"53","FPS",1,NA,4772.07924080289,NA
"54","FPS",1,NA,6773.27376113959,NA
"55","FPS",1,NA,1422.61787330058,NA
"56","FPS",1,20,141.371669411541,15.5215740130622
"57","FPS",1,20,38955.7489045134,15.5215740130622
"58","FPS",1,NA,17021.1489971495,NA
"59","FPS",1,NA,8032.5288164535,NA
"60","FPS",1,NA,16234.1800374253,NA
"61","FPS",1,NA,8906.41517292706,NA
"62","FPS",1,NA,8846.72491250886,NA
"63","FPS",1,NA,3414.12581628871,NA
"64","FPS",1,NA,6534.51271946677,NA
"65","FPS",1,NA,8972.38861865245,NA
"66","FPS",1,NA,23810.130721557,NA
"67","FPS",1,NA,43141.1357172584,NA
"68","FPS",1,NA,6491.31582047991,NA
"69","FPS",1,NA,9308.80083197436,NA
"70","FPS",1,NA,1099.55742875643,NA
"71","FPS",1,NA,4714.74517487488,NA
"72","FPS",1,NA,643.24109582251,NA
"73","FPS",1,NA,5451.97225091729,NA
"74","FPS",1,NA,13458.5829279787,NA
"75","FPS",1,NA,67270.9234913182,NA
"76","FPS",1,NA,89667.3375187599,NA
"77","FPS",1,NA,57679.6411199086,NA
"78","FPS",1,NA,14882.771597606,NA
"79","FPS",1,NA,44811.1540120292,NA
"80","FPS",1,NA,6625.61890642087,NA
"81","FPS",1,NA,7245.29805734146,NA
"82","FPS",1,NA,18906.1045893034,NA
"83","FPS",1,NA,5026.54824574367,NA
"84","FPS",1,NA,60510.4779001808,NA
"85","FPS",1,NA,4750.08809222777,NA
"86","FPS",1,NA,3606.28656693328,NA
"87","FPS",1,NA,16880.8245252892,NA
"88","FPS",1,NA,11866.0572519964,NA
"89","FPS",1,25,13006.1935858617,29.360948280316
"90","FPS",1,25,24923.301718479,29.360948280316
"91","FPS",1,25,17399.7109119071,29.360948280316
"92","FPS",1,30,24373.5230041008,38.0600304209377
"93","FPS",1,NA,97389.3722612836,NA
"94","FPS",1,30,15607.4323030341,38.0600304209377
"95","FPS",1,30,27444.9534217604,38.0600304209377
"96","FPS",1,30,3240.02922340227,38.0600304209377
"97","FPS",1,35,6990.82905240069,86.8875619076715
"98","FPS",1,NA,1929.72328746753,NA
"99","FPS",1,NA,28751.8559656538,NA
"100","FPS",1,NA,1343.03085940964,NA
"101","FPS",1,NA,38453.0940799391,NA
"102","FPS",1,NA,14608.4058391925,NA
"103","FPS",1,35,13504.6596202313,86.8875619076715
"104","FPS",1,35,11163.1258957557,86.8875619076715
"105","FPS",1,35,71031.4098976652,86.8875619076715
"106","FPS",1,35,13936.8904094877,86.8875619076715
"107","FPS",1,35,40722.8947721577,86.8875619076715
"108","FPS",1,35,23499.1130488517,86.8875619076715
"109","FPS",1,35,969.966731795849,86.8875619076715
"110","FPS",1,35,56069.5748849438,86.8875619076715
"111","FPS",1,40,43065.9992929601,21.2728360008913
"112","FPS",1,40,40229.1411267685,21.2728360008913
"113","FPS",1,45,25656.3400043166,21.3466803069998
"114","FPS",1,45,72702.737189375,21.3466803069998
