"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant","recruits.1y","recruits.4y"
"1331","SLP",1,355,350,"6",2015,75,100,96,52,2,1,2016,0,NA,"1",75,114,106,64,135,0.125,1,132904.030012565,12.1468297270536,12.3769488921043,0.018767574361291,2,52,1080,512,54,1592,7.37274636640433,1,FALSE,0,0
"1332","SLP",1,355,350,"6",2016,75,114,106,64,135,0.125,2017,0,NA,"1",83,130,112,36,138,0.125,1,132904.030012565,12.3769488921043,12.6646971656087,0.0229825897575524,1080,512,1104,288,1592,1392,7.23849684089437,1,FALSE,0,0
"1333","SLP",1,435,450,"2",2014,24,42,42,96,12,1,2015,0,NA,"1",34,50,44,0,4,1,2,24956.8120401173,9.31321630297608,9.88239640002397,0.0593205337708556,12,96,4,0,108,4,1.38629436111989,1,FALSE,0,0
"1334","SLP",1,435,450,"1",2014,32,46,36,27,2,1,2015,0,NA,"1",41,55,47,0,0,1,2,24956.8120401173,9.53771947380633,10.2308760897082,0.0701558075481699,2,27,0,0,29,0,NA,0,FALSE,0,0
"1335","SLP",1,435,450,"2",2016,36,58,52,47,69,0.25,2017,0,NA,"1",41,61,54,48,134,0.25,2,24956.8120401173,10.2550289036454,10.4732532135033,0.0210564842284762,276,188,536,192,464,728,6.59030104819669,1,FALSE,0,0
"1336","SLP",1,435,450,"1",2016,45,67,55,38,28,0.25,2017,0,NA,"1",50,68,57,67,142,0.25,2,24956.8120401173,10.6785115304552,10.8344052145002,0.0144932846383949,112,152,568,268,264,836,6.7286286130847,1,FALSE,0,0
"1337","SLP",1,435,450,"1",2015,41,55,47,0,0,1,2016,0,NA,"1",45,67,55,38,28,0.25,2,24956.8120401173,10.2308760897082,10.6785115304552,0.0428232384472356,0,0,112,152,0,264,5.57594910314632,1,FALSE,0,0
"1338","SLP",1,435,450,"2",2015,34,50,44,0,4,1,2016,0,NA,"1",36,58,52,47,69,0.25,2,24956.8120401173,9.88239640002397,10.2550289036454,0.0370131770544906,4,0,276,188,4,464,6.13988455222626,1,FALSE,0,0
"1339","SLP",1,440,450,"3",2016,18,27,25,0,0,1,2017,0,NA,"1",23,27,23,4,1,1,1,513.126800086333,8.06490768483009,8.22664853392403,0.0198564411071351,0,0,1,4,0,5,1.6094379124341,1,FALSE,0,0
"1340","SLP",1,440,450,"3",2015,15,22,19,0,0,1,2016,0,NA,"1",18,27,25,0,0,1,1,513.126800086333,7.40335486968837,8.06490768483009,0.0855890068754981,0,0,0,0,0,0,NA,0,FALSE,0,0
