light,site,individual,begin.year,number.leaves,av.leaf.length,av.leaf.width,av.leaf.area,total.leaf.area,flowering,inflorescence.height,number.flowers,number.fruits,end.year,end.number.leaves,end.av.leaf.length,end.av.leaf.width,end.av.leaf.area,end.total.leaf.area,end.flowering,end.inflorescence.height,end.number.flowers,end.number.fruits,survival,dormant,comments
L,L1,90,2007,2,6.75,1.65,8.747,17.495,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,86,2011,2,15.45,2.90,35.190,70.380,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,140,2011,2,10.80,2.15,18.237,36.474,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,80,2012,2,11.75,2.25,20.764,41.528,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,100,2012,2,6.70,2.10,11.051,22.101,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,147,2012,2,8.10,1.20,7.634,15.268,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,130,2005,2,7.45,1.45,8.484,16.969,0,NA,NA,NA,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,82,2006,2,12.00,2.65,24.976,49.951,0,NA,NA,NA,2007,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,196,2006,2,8.65,1.50,10.191,20.381,0,NA,NA,NA,2007,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,200,2006,2,12.00,1.95,18.378,36.757,0,NA,NA,NA,2007,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,230,2007,2,7.25,1.35,7.687,15.374,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,125,2008,2,8.70,1.40,9.566,19.132,0,NA,NA,NA,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,126,2008,2,11.80,3.30,30.583,61.167,0,NA,NA,NA,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,262,2008,2,9.80,1.15,8.851,17.703,0,NA,NA,NA,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,127,2009,2,8.30,1.55,10.104,20.208,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,264,2009,2,10.05,1.65,13.024,26.048,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,305,2009,2,9.15,0.90,6.468,12.936,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,140,2010,2,10.65,1.70,14.220,28.439,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,247,2010,2,5.25,3.10,12.782,25.565,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,255,2010,2,10.95,2.05,17.630,35.260,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,270,2010,2,11.50,1.85,16.709,33.419,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,296,2010,2,9.15,2.00,14.373,28.746,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,310,2010,2,6.75,1.20,6.362,12.723,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,167,2011,2,5.75,2.70,12.193,24.387,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,368,2011,2,6.50,0.95,4.850,9.700,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,420,2011,2,4.15,1.20,3.911,7.823,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,431,2011,2,8.75,1.40,9.621,19.242,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,257,2012,2,6.13,1.70,8.189,16.378,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,263,2012,2,4.80,2.55,9.613,19.227,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,277,2012,2,6.40,1.05,5.278,10.556,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,367,2012,2,9.50,1.05,7.834,15.669,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,385,2012,2,5.55,1.45,6.320,12.641,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,411,2012,2,4.20,0.95,3.134,6.267,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,436,2012,2,4.80,0.85,3.204,6.409,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,45,2004,2,11.40,1.85,16.564,33.128,0,NA,NA,NA,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,13,2006,2,6.00,0.90,4.241,8.482,0,NA,NA,NA,2007,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1b,89,2010,2,6.75,0.85,4.506,9.012,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1b,79,2011,2,12.35,2.40,23.279,46.558,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S2,35,2009,2,7.20,1.80,10.179,20.358,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S2,73,2009,2,15.75,3.10,38.347,76.694,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,117,2004,3,8.20,2.83,18.247,54.742,0,NA,NA,NA,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,70,2006,3,12.20,2.80,26.829,80.488,0,NA,NA,NA,2007,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,114,2006,3,14.33,3.93,44.279,132.837,0,NA,NA,NA,2007,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,115,2006,3,4.87,0.90,3.440,10.320,0,NA,NA,NA,2007,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,133,2007,3,11.03,2.93,25.419,76.257,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,222,2007,3,11.00,1.97,16.991,50.972,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,260,2009,3,7.83,2.63,16.201,48.603,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,129,2010,3,9.47,2.07,15.366,46.098,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,276,2010,3,6.87,1.77,9.528,28.583,0,NA,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,215,2011,3,9.70,2.80,21.331,63.994,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,365,2012,3,6.07,1.97,9.371,28.112,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,44,2004,3,16.63,3.67,47.901,143.702,0,NA,NA,NA,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,35,2007,3,16.90,4.30,57.075,171.225,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,34,2012,3,13.47,2.63,27.852,83.556,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S2,43,2005,3,19.87,3.30,51.491,154.472,0,NA,NA,NA,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
#S,S2,65,2008,3,8.47,2.20,14.629,43.888,0,NA,NA,NA,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,# commented out because dead and assumed dormant before
L,L1,46,2008,4,9.73,3.53,27.011,108.043,0,NA,NA,NA,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,68,2011,4,12.40,3.07,29.866,119.464,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,67,2005,4,9.90,2.90,22.549,90.195,0,NA,NA,NA,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,28,2011,4,12.23,4.20,40.354,161.415,1,24,28,2,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,358,2011,4,7.80,2.87,17.562,70.246,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,29,2012,4,16.30,4.10,52.488,209.953,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,152,2012,4,11.07,3.27,28.393,113.572,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,201,2012,4,10.00,3.80,29.845,119.381,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,36,2006,4,20.83,3.70,60.541,242.164,0,NA,NA,NA,2007,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,3,2011,4,14.03,3.43,37.841,151.365,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S2,14,2005,4,16.40,3.93,50.663,202.654,0,NA,NA,NA,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S2,42,2008,4,19.67,3.97,61.270,245.079,0,NA,NA,NA,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L1,95,2011,5,12.47,3.97,38.839,194.194,1,38,24,6,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,41,2004,5,11.00,4.73,40.893,204.465,1,34,41,12,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,42,2004,5,15.03,3.43,40.538,202.689,0,NA,NA,NA,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,104,2004,5,14.60,3.00,34.400,172.002,0,NA,NA,NA,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,40,2006,5,12.93,2.60,26.410,132.052,0,NA,NA,NA,2007,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,118,2007,5,13.67,4.10,44.008,220.042,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,194,2011,5,13.73,3.83,41.347,206.734,0,NA,NA,NA,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,214,2011,5,10.03,2.70,21.276,106.382,1,20,,,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1b,56,2005,5,17.00,3.63,48.511,242.557,0,NA,NA,NA,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,37,2007,5,11.20,2.17,19.059,95.295,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,48,2008,5,16.50,4.80,62.204,311.018,1,52,49,3,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1b,88,2009,5,14.60,4.20,48.161,240.803,0,NA,NA,NA,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S2,67,2007,5,10.53,2.43,20.131,100.653,0,NA,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S2,70,2008,5,14.97,3.10,36.440,182.199,0,NA,NA,NA,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,66,2007,6,12.47,3.73,36.554,219.325,1,27,NA,NA,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,50,2010,6,14.97,4.90,57.598,345.591,1,42,NA,NA,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,61,2010,6,14.37,5.00,56.418,338.507,1,52,50,1,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,124,2011,6,11.57,4.40,39.972,239.829,1,37,42,8,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,212,2011,6,14.27,4.27,47.808,286.848,1,40,43,0,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,74,2012,6,12.87,3.97,40.085,240.510,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,180,2012,6,13.30,3.30,34.471,206.827,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,181,2012,6,15.90,3.93,49.119,294.713,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,265,2012,6,12.83,3.23,32.590,195.538,0,NA,NA,NA,2013,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
S,S1a,33,2004,6,23.13,7.40,134.450,806.698,1,43,45,0,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
#S,S2,65,2007,6,11.07,4.17,36.216,217.293,1,44,22,2,2008,-999,8.47,2.20,14.629,43.888,0,NA,NA,NA,0,0,"# was 3 leaves, but assumed dormant and therefor dead"
L,L1,79,2011,7,16.47,6.13,79.322,555.252,1,49,39,1,2012,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
L,L2,44,2004,7,14.50,3.60,40.998,286.984,1,35,43,15,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
