light,site,individual,begin.year,number.leaves,av.leaf.length,av.leaf.width,av.leaf.area,total.leaf.area,flowering,inflorescence.height,number.flowers,number.fruits,end.year,end.number.leaves,end.av.leaf.length,end.av.leaf.width,end.av.leaf.area,end.total.leaf.area,end.flowering,end.inflorescence.height,end.number.flowers,end.number.fruits,survival,dormant,comments
S,S1a,40,2003,2,14.50,3.10,35.304,70.607,0,NA,NA,NA,2004,2,14.40,3.30,37.322,74.644,0,NA,NA,NA,1,0,
S,S1a,39,2004,2,12.05,2.15,20.348,40.695,0,NA,NA,NA,2005,2,14.70,2.80,32.327,64.654,0,NA,NA,NA,1,0,
S,S1a,40,2004,2,14.40,3.30,37.322,74.644,0,NA,NA,NA,2005,2,11.40,2.80,25.070,50.140,0,NA,NA,NA,1,0,
S,S1a,40,2005,2,11.40,2.80,25.070,50.140,0,NA,NA,NA,2006,2,13.20,2.85,29.547,59.093,0,NA,NA,NA,1,0,
S,S1b,74,2005,2,11.35,2.85,25.406,50.811,0,NA,NA,NA,2006,2,13.10,3.75,38.583,77.165,0,NA,NA,NA,1,0,
S,S1b,85,2005,2,12.85,2.30,23.212,46.425,0,NA,NA,NA,2006,2,15.20,2.60,31.039,62.078,0,NA,NA,NA,1,0,
S,S1a,19,2006,2,8.90,2.00,13.980,27.960,0,NA,NA,NA,2007,2,9.95,2.15,16.802,33.603,0,NA,NA,NA,1,0,
S,S1a,41,2006,2,9.00,2.20,15.551,31.102,0,NA,NA,NA,2007,2,8.20,1.95,12.559,25.117,0,NA,NA,NA,1,0,
S,S1a,47,2006,2,12.60,3.25,32.162,64.324,0,NA,NA,NA,2007,2,9.65,1.65,12.506,25.011,0,NA,NA,NA,1,0,
S,S1b,68,2006,2,17.25,2.70,36.580,73.160,0,NA,NA,NA,2007,2,15.55,2.70,32.975,65.950,0,NA,NA,NA,1,0,
S,S1b,87,2006,2,11.70,2.55,23.432,46.865,0,NA,NA,NA,2007,2,11.40,2.60,23.279,46.558,0,NA,NA,NA,1,0,
S,S1b,90,2006,2,11.95,2.90,27.218,54.436,0,NA,NA,NA,2007,2,12.50,3.45,33.870,67.741,0,NA,NA,NA,1,0,
S,S1a,19,2007,2,9.95,2.15,16.802,33.603,0,NA,NA,NA,2008,2,11.65,2.80,25.620,51.239,0,NA,NA,NA,1,0,
S,S1a,41,2007,2,8.20,1.95,12.559,25.117,0,NA,NA,NA,2008,2,12.10,2.05,19.482,38.964,0,NA,NA,NA,1,0,
S,S1b,66,2007,2,16.25,3.45,44.031,88.063,0,NA,NA,NA,2008,2,13.30,1.55,16.191,32.382,0,NA,NA,NA,1,0,
S,S1b,68,2007,2,15.55,2.70,32.975,65.950,0,NA,NA,NA,2008,2,20.35,3.10,49.547,99.094,0,NA,NA,NA,1,0,
S,S1b,87,2007,2,11.40,2.60,23.279,46.558,0,NA,NA,NA,2008,2,12.80,3.00,30.159,60.319,0,NA,NA,NA,1,0,
S,S1b,89,2009,2,8.60,1.50,10.132,20.263,0,NA,NA,NA,2010,2,6.75,0.85,4.506,9.012,0,NA,NA,NA,1,0,
S,S1a,46,2010,2,11.25,1.35,11.928,23.856,0,NA,NA,NA,2011,2,13.80,1.95,21.135,42.270,0,NA,NA,NA,1,0,
S,S1b,99,2010,2,12.30,1.95,18.838,37.676,0,NA,NA,NA,2011,2,12.80,2.70,27.143,54.287,0,NA,NA,NA,1,0,
S,S1a,21,2011,2,15.70,3.55,43.774,87.548,0,NA,NA,NA,2012,2,12.15,3.30,31.491,62.981,0,NA,NA,NA,1,0,
S,S1b,99,2011,2,12.80,2.70,27.143,54.287,0,NA,NA,NA,2012,2,8.25,2.00,12.959,25.918,0,NA,NA,NA,1,0,
S,S1a,21,2012,2,12.15,3.30,31.491,62.981,0,NA,NA,NA,2013,2,15.05,3.30,39.007,78.014,0,NA,NA,NA,1,0,
S,S1b,99,2012,2,8.25,2.00,12.959,25.918,0,NA,NA,NA,2013,2,10.65,1.45,12.129,24.257,0,NA,NA,NA,1,0,
S,S1b,100,2012,2,8.10,1.50,9.543,19.085,0,NA,NA,NA,2013,2,9.15,2.95,21.200,42.400,0,NA,NA,NA,1,0,
S,S2,34,2004,2,17.55,4.40,60.648,121.297,0,NA,NA,NA,2005,2,16.10,3.65,46.154,92.308,0,NA,NA,NA,1,0,
S,S2,34,2005,2,16.10,3.65,46.154,92.308,0,NA,NA,NA,2006,2,16.80,3.40,44.862,89.724,0,NA,NA,NA,1,0,
S,S2,34,2009,2,16.70,2.60,34.102,68.204,0,NA,NA,NA,2010,2,15.30,2.85,34.247,68.495,0,NA,NA,NA,1,0,
S,S2,48,2003,2,10.05,1.60,12.629,25.258,0,NA,NA,NA,2004,2,8.95,1.85,13.004,26.008,0,NA,NA,NA,1,0,
S,S2,48,2006,2,10.85,2.45,20.878,41.756,0,NA,NA,NA,2007,2,7.35,2.25,12.989,25.977,0,NA,NA,NA,1,0,
S,S2,55,2006,2,9.75,2.05,15.698,31.396,0,NA,NA,NA,2007,2,NA,NA,NA,NA,0,NA,NA,NA,1,0,
S,S2,64,2003,2,9.50,2.25,16.788,33.576,0,NA,NA,NA,2004,2,11.80,3.05,28.266,56.533,0,NA,NA,NA,1,0,
L,L1,56,2004,3,8.93,1.30,9.121,27.363,0,NA,NA,NA,2005,2,5.85,1.30,5.973,11.946,0,NA,NA,NA,1,0,
L,L1,22,2005,3,10.53,2.03,16.821,50.464,0,NA,NA,NA,2006,2,11.25,2.45,21.648,43.295,0,NA,NA,NA,1,0,
L,L1,67,2006,3,8.67,2.80,19.059,57.177,0,NA,NA,NA,2007,2,9.80,2.80,21.551,43.103,0,NA,NA,NA,1,0,
L,L1,64,2007,3,7.20,1.40,7.917,23.750,0,NA,NA,NA,2008,2,12.10,2.45,23.283,46.566,0,NA,NA,NA,1,0,
L,L1,69,2007,3,9.60,1.70,12.818,38.453,0,NA,NA,NA,2008,2,11.20,2.20,19.352,38.704,0,NA,NA,NA,1,0,
L,L1,47,2008,3,6.30,2.03,10.061,30.183,0,NA,NA,NA,2009,2,7.20,2.10,11.875,23.750,0,NA,NA,NA,1,0,
L,L1,74,2008,3,8.33,2.20,14.399,43.197,0,NA,NA,NA,2009,2,11.20,3.10,27.269,54.538,0,NA,NA,NA,1,0,
L,L1,85,2010,3,14.27,3.37,37.724,113.171,0,NA,NA,NA,2011,2,9.20,2.00,14.451,28.903,0,NA,NA,NA,1,0,
L,L2,80,2004,3,14.80,2.87,33.322,99.965,0,NA,NA,NA,2005,2,9.00,2.55,18.025,36.050,0,NA,NA,NA,1,0,
L,L2,131,2004,3,7.80,2.27,13.886,41.658,0,NA,NA,NA,2005,2,10.70,2.80,23.531,47.061,0,NA,NA,NA,1,0,
L,L2,170,2004,3,8.10,1.80,11.451,34.353,0,NA,NA,NA,2005,2,10.80,1.95,16.540,33.081,0,NA,NA,NA,1,0,
L,L2,133,2005,3,9.70,2.40,18.284,54.852,0,NA,NA,NA,2006,2,14.25,3.15,35.255,70.509,0,NA,NA,NA,1,0,
L,L2,138,2006,3,10.93,2.77,23.757,71.272,0,NA,NA,NA,2007,2,8.00,3.65,22.934,45.867,0,NA,NA,NA,1,0,
L,L2,25,2007,3,8.93,2.07,14.500,43.501,0,NA,NA,NA,2008,2,10.70,2.10,17.648,35.296,0,NA,NA,NA,1,0,
L,L2,88,2007,3,10.70,2.73,22.970,68.911,0,NA,NA,NA,2008,2,15.30,2.90,34.848,69.696,0,NA,NA,NA,1,0,
L,L2,121,2007,3,10.03,0.97,7.617,22.852,0,NA,NA,NA,2008,2,6.65,2.30,12.013,24.025,0,NA,NA,NA,1,0,
L,L2,126,2007,3,8.77,2.77,19.049,57.148,0,NA,NA,NA,2008,2,11.80,3.30,30.583,61.167,0,NA,NA,NA,1,0,
L,L2,215,2007,3,10.43,2.47,20.213,60.638,0,NA,NA,NA,2008,2,13.00,2.15,21.952,43.904,0,NA,NA,NA,1,0,
L,L2,226,2007,3,5.50,2.57,11.087,33.262,0,NA,NA,NA,2008,2,9.45,3.35,24.864,49.727,0,NA,NA,NA,1,0,
L,L2,127,2008,3,8.80,1.47,10.137,30.411,0,NA,NA,NA,2009,2,8.30,1.55,10.104,20.208,0,NA,NA,NA,1,0,
L,L2,304,2009,3,10.63,2.33,19.487,58.460,0,NA,NA,NA,2010,2,4.10,0.80,2.576,5.152,0,NA,NA,NA,1,0,
L,L2,242,2010,3,8.47,2.20,14.629,43.888,0,NA,NA,NA,2011,2,7.40,1.95,11.333,22.667,0,NA,NA,NA,1,0,
L,L2,303,2010,3,10.23,2.03,16.342,49.027,0,NA,NA,NA,2011,2,6.30,1.60,7.917,15.834,0,NA,NA,NA,1,0,
L,L2,348,2010,3,9.10,1.90,13.580,40.739,0,NA,NA,NA,2011,2,6.20,2.05,9.982,19.965,0,NA,NA,NA,1,0,
L,L2,14,2011,3,7.23,2.53,14.392,43.176,0,NA,NA,NA,2012,2,8.70,2.95,20.157,40.314,0,NA,NA,NA,1,0,
L,L2,210,2011,3,9.23,2.07,14.987,44.961,0,NA,NA,NA,2012,2,6.40,1.35,6.786,13.572,0,NA,NA,NA,1,0,
L,L2,217,2011,3,7.33,1.70,9.791,29.374,0,NA,NA,NA,2012,2,8.70,2.75,18.791,37.581,0,NA,NA,NA,1,0,
L,L2,259,2011,3,5.53,1.67,7.243,21.729,0,NA,NA,NA,2012,2,7.70,1.60,9.676,19.352,0,NA,NA,NA,1,0,
L,L2,279,2011,3,11.03,2.60,22.530,67.591,0,NA,NA,NA,2012,2,5.85,0.80,3.676,7.351,0,NA,NA,NA,1,0,
L,L2,297,2011,3,8.27,2.07,13.418,40.254,0,NA,NA,NA,2012,2,9.70,2.55,19.427,38.854,0,NA,NA,NA,1,0,
L,L2,327,2011,3,8.63,2.27,15.369,46.108,0,NA,NA,NA,2012,2,12.05,2.75,26.026,52.052,0,NA,NA,NA,1,0,
L,L2,376,2011,3,6.53,1.77,9.065,27.196,0,NA,NA,NA,2012,2,8.60,2.10,14.184,28.369,0,NA,NA,NA,1,0,
L,L2,369,2012,3,8.40,1.60,10.556,31.667,0,NA,NA,NA,2013,2,11.75,2.30,21.225,42.451,0,NA,NA,NA,1,0,
S,S1a,19,2003,3,9.33,2.20,16.127,48.381,0,NA,NA,NA,2004,2,10.65,1.50,12.547,25.093,0,NA,NA,NA,1,0,
S,S1b,64,2004,3,13.57,2.70,28.769,86.307,0,NA,NA,NA,2005,2,17.60,2.95,40.778,81.556,0,NA,NA,NA,1,0,
S,S1a,15,2005,3,14.50,2.97,33.785,101.356,0,NA,NA,NA,2006,2,15.45,3.05,37.010,74.020,0,NA,NA,NA,1,0,
S,S1b,68,2005,3,12.83,2.77,27.886,83.658,0,NA,NA,NA,2006,2,17.25,2.70,36.580,73.160,0,NA,NA,NA,1,0,
S,S1b,54,2006,3,11.93,2.90,27.180,81.540,0,NA,NA,NA,2007,2,15.05,3.05,36.052,72.103,0,NA,NA,NA,1,0,
S,S1a,40,2007,3,10.03,2.97,23.378,70.133,0,NA,NA,NA,2008,2,15.15,3.30,39.266,78.532,0,NA,NA,NA,1,0,
S,S1b,64,2008,3,13.40,3.50,36.835,110.506,0,NA,NA,NA,2009,2,13.80,3.05,33.057,66.115,0,NA,NA,NA,1,0,
S,S1a,46,2009,3,11.37,2.83,25.294,75.883,0,NA,NA,NA,2010,2,11.25,1.35,11.928,23.856,0,NA,NA,NA,1,0,
S,S1a,21,2010,3,4.23,2.60,8.645,25.934,0,NA,NA,NA,2011,2,15.70,3.55,43.774,87.548,0,NA,NA,NA,1,0,
S,S1b,68,2010,3,11.93,2.37,22.181,66.544,0,NA,NA,NA,2011,2,16.30,3.00,38.406,76.812,0,NA,NA,NA,1,0,
S,S2,31,2006,3,18.43,2.47,35.711,107.134,0,NA,NA,NA,2007,2,14.75,3.15,36.492,72.983,0,NA,NA,NA,1,0,
S,S2,34,2003,3,16.20,3.53,44.956,134.869,0,NA,NA,NA,2004,2,17.55,4.40,60.648,121.297,0,NA,NA,NA,1,0,
S,S2,54,2006,3,11.00,2.97,25.630,76.890,0,NA,NA,NA,2007,2,10.10,1.95,15.468,30.937,0,NA,NA,NA,1,0,
L,L1,54,2004,4,6.33,1.90,9.451,37.804,0,NA,NA,NA,2005,2,6.75,1.95,10.338,20.676,0,NA,NA,NA,1,0,
L,L1,33,2005,4,10.27,3.13,25.265,101.062,1,28,28,3,2006,2,11.05,2.70,23.432,46.865,0,NA,NA,NA,1,0,
L,L1,47,2005,4,9.17,4.07,29.278,117.112,1,32,25,6,2006,2,8.35,2.60,17.051,34.102,0,NA,NA,NA,1,0,
L,L1,64,2005,4,9.97,3.10,24.266,97.065,1,20,37,8,2006,2,8.35,2.15,14.100,28.200,0,NA,NA,NA,1,0,
L,L1,68,2005,4,7.73,2.83,17.209,68.836,1,19,35,8,2006,2,6.40,2.05,10.304,20.609,0,NA,NA,NA,1,0,
L,L1,71,2008,4,10.83,2.80,23.824,95.295,1,35,25,0,2009,2,12.10,2.65,25.184,50.368,0,NA,NA,NA,1,0,
L,L2,125,2007,4,11.83,2.83,26.333,105.331,0,NA,NA,NA,2008,2,8.70,1.40,9.566,19.132,0,NA,NA,NA,1,0,
L,L2,277,2011,4,10.43,3.07,25.129,100.517,0,NA,NA,NA,2012,2,6.40,1.05,5.278,10.556,0,NA,NA,NA,1,0,
L,L2,307,2011,4,7.40,3.50,20.342,81.367,0,NA,NA,NA,2012,2,9.00,0.85,6.008,12.017,0,NA,NA,NA,1,0,
S,S1a,41,2005,4,13.27,2.93,30.564,122.257,1,32,34,0,2006,2,9.00,2.20,15.551,31.102,0,NA,NA,NA,1,0,
S,S1b,75,2011,4,16.17,3.37,42.747,170.990,0,NA,NA,NA,2012,2,16.00,4.35,54.664,109.327,0,NA,NA,NA,1,0,
S,S2,76,2008,4,13.43,2.20,23.211,92.845,0,NA,NA,NA,2009,2,12.10,2.25,21.382,42.765,0,NA,NA,NA,1,0,
L,L2,8,2004,5,10.57,3.63,30.153,150.766,1,39,NA,NA,2005,2,11.85,2.55,23.733,47.466,0,NA,NA,NA,1,0,
L,L2,25,2005,5,12.10,4.07,38.647,193.234,1,29,30,7,2006,2,11.90,2.80,26.169,52.339,0,NA,NA,NA,1,0,
L,L2,227,2011,5,8.87,2.97,20.659,103.297,0,NA,NA,NA,2012,2,9.80,1.60,12.315,24.630,0,NA,NA,NA,1,0,
S,S1b,66,2006,5,17.40,4.03,55.119,275.596,1,36,16,0,2007,2,16.25,3.45,44.031,88.063,0,NA,NA,NA,1,0,
#S,S2,1,2010,5,12.80,3.07,30.829,154.147,1,28,NA,NA,2011,2,14.95,2.95,34.638,69.276,0,NA,NA,NA,1,0,
S,S2,57,2005,5,16.97,4.03,53.747,268.733,1,30,NA,NA,2006,2,17.00,3.65,48.734,97.468,0,NA,NA,NA,1,0,
S,S2,54,2003,6,18.10,3.67,52.124,312.746,1,42,23,0,2004,2,17.40,3.20,43.731,87.462,0,NA,NA,NA,1,0,
L,L1,53,2011,7,19.27,7.67,116.012,812.084,1,49,72,5,2012,2,6.90,3.10,16.800,33.599,0,NA,NA,NA,1,0,
L,L1,23b,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,2,7.10,2.05,11.431,22.863,0,NA,NA,NA,1,0,
L,L1,70,2003,-999,NA,NA,NA,NA,NA,NA,NA,NA,2004,3,11.57,3.03,27.556,82.668,0,NA,NA,NA,1,0,
L,L1,69,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,2006,3,9.43,1.77,13.089,39.267,0,NA,NA,NA,1,0,
L,L1,142,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,2011,3,10.03,2.60,20.488,61.465,0,NA,NA,NA,1,0,
L,L1,168,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,2013,3,10.43,2.40,19.666,58.999,0,NA,NA,NA,1,0,
L,L1,186,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,2013,3,13.20,2.03,21.080,63.240,0,NA,NA,NA,1,0,
L,L2,176,2004,-999,NA,NA,NA,NA,NA,NA,NA,NA,2005,3,11.03,2.27,19.642,58.926,0,NA,NA,NA,1,0,
L,L2,182,2004,-999,NA,NA,NA,NA,NA,NA,NA,NA,2005,3,12.77,2.43,24.399,73.196,0,NA,NA,NA,1,0,
L,L2,183,2004,-999,NA,NA,NA,NA,NA,NA,NA,NA,2005,3,12.73,2.43,24.335,73.005,0,NA,NA,NA,1,0,
L,L2,185,2004,-999,NA,NA,NA,NA,NA,NA,NA,NA,2005,3,14.00,2.80,30.788,92.363,0,NA,NA,NA,1,0,
L,L2,189,2004,-999,NA,NA,NA,NA,NA,NA,NA,NA,2005,3,11.67,2.07,18.937,56.810,0,NA,NA,NA,1,0,
L,L2,195,2004,-999,NA,NA,NA,NA,NA,NA,NA,NA,2005,3,12.73,2.23,22.335,67.005,0,NA,NA,NA,1,0,
L,L2,198,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,2006,3,9.97,1.97,15.395,46.184,0,NA,NA,NA,1,0,
L,L2,201,2005,-999,NA,NA,NA,NA,NA,NA,NA,NA,2006,3,10.10,2.50,19.831,59.494,0,NA,NA,NA,1,0,
L,L2,215,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,10.43,2.47,20.213,60.638,0,NA,NA,NA,1,0,
L,L2,222,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,11.00,1.97,16.991,50.972,0,NA,NA,NA,1,0,
L,L2,226,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,5.50,2.57,11.087,33.262,0,NA,NA,NA,1,0,
L,L2,227,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,8.20,2.03,13.095,39.286,0,NA,NA,NA,1,0,
L,L2,231,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,11.63,2.53,23.147,69.440,0,NA,NA,NA,1,0,
L,L2,237,2006,-999,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,9.43,2.80,20.745,62.235,0,NA,NA,NA,1,0,
L,L2,246,2007,-999,NA,NA,NA,NA,NA,NA,NA,NA,2008,3,7.70,1.95,11.793,35.378,0,NA,NA,NA,1,0,
L,L2,281,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,2009,3,8.87,2.70,18.802,56.407,0,NA,NA,NA,1,0,
L,L2,285,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,2009,3,10.90,2.23,19.119,57.358,0,NA,NA,NA,1,0,
L,L2,289,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,2009,3,11.97,2.87,26.943,80.828,0,NA,NA,NA,1,0,
L,L2,295,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,2009,3,7.50,2.00,11.781,35.343,0,NA,NA,NA,1,0,
L,L2,304,2008,-999,NA,NA,NA,NA,NA,NA,NA,NA,2009,3,10.63,2.33,19.487,58.460,0,NA,NA,NA,1,0,
L,L2,312,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,11.87,2.93,27.339,82.017,0,NA,NA,NA,1,0,
L,L2,314,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,8.23,2.53,16.382,49.145,0,NA,NA,NA,1,0,
L,L2,315,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,11.53,2.13,19.324,57.973,0,NA,NA,NA,1,0,
L,L2,326,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,9.20,2.10,15.174,45.522,0,NA,NA,NA,1,0,
L,L2,335,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,9.23,1.80,13.053,39.160,0,NA,NA,NA,1,0,
L,L2,336,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,10.97,2.10,18.088,54.263,0,NA,NA,NA,1,0,
L,L2,338,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,12.00,2.93,27.646,82.938,0,NA,NA,NA,1,0,
L,L2,345,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,11.97,2.80,26.316,78.948,0,NA,NA,NA,1,0,
L,L2,348,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,9.10,1.90,13.580,40.739,0,NA,NA,NA,1,0,
L,L2,358,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,8.03,2.07,13.039,39.118,0,NA,NA,NA,1,0,
L,L2,374,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,12.67,2.60,25.866,77.597,0,NA,NA,NA,1,0,
L,L2,400,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,2011,3,6.90,1.70,9.213,27.638,0,NA,NA,NA,1,0,
L,L2,402,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,2011,3,4.93,1.60,6.199,18.598,0,NA,NA,NA,1,0,
L,L2,423,2010,-999,NA,NA,NA,NA,NA,NA,NA,NA,2011,3,7.60,2.00,11.938,35.814,0,NA,NA,NA,1,0,
L,L2,449,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,2012,3,11.80,3.17,29.348,88.043,0,NA,NA,NA,1,0,
L,L2,468,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,2012,3,6.50,2.27,11.572,34.715,0,NA,NA,NA,1,0,
L,L2,470,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,2012,3,9.63,1.90,14.375,43.126,0,NA,NA,NA,1,0,
L,L2,476,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,2012,3,11.27,2.03,17.993,53.978,0,NA,NA,NA,1,0,
L,L2,481,2011,-999,NA,NA,NA,NA,NA,NA,NA,NA,2012,3,13.23,2.43,25.291,75.872,0,NA,NA,NA,1,0,
L,L2,485,2012,-999,NA,NA,NA,NA,NA,,NA,NA,2013,3,9.97,1.83,14.351,43.053,0,NA,NA,NA,1,0,
L,L2,486,2012,-999,NA,NA,NA,NA,NA,,NA,NA,2013,3,7.73,1.53,9.313,27.939,0,NA,NA,NA,1,0,
L,L2,487,2012,-999,NA,NA,NA,NA,NA,,NA,NA,2013,3,7.67,1.87,11.240,33.720,0,NA,NA,NA,1,0,
S,S1a,44,2003,-999,NA,NA,NA,NA,NA,NA,NA,NA,2004,3,16.63,3.67,47.901,143.702,0,NA,NA,NA,1,0,
#S,S2,65,2009,-999,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,8.90,2.50,17.475,52.425,0,NA,NA,NA,1,0,
L,L1,142,2012,0,NA,NA,NA,NA,NA,NA,NA,NA,2013,3,11.10,2.30,20.051,60.154,0,NA,NA,NA,1,0,
L,L2,120,2005,0,NA,NA,NA,NA,NA,NA,NA,NA,2006,3,16.57,3.20,41.637,124.910,0,NA,NA,NA,1,0,
L,L2,4,2006,0,9.20,2.70,19.509,58.528,0,NA,NA,NA,2007,3,14.67,3.53,40.701,122.103,0,NA,NA,NA,1,0,"# was 3 leaves, but assumed dormant"
L,L2,141,2006,0,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,10.30,2.97,23.999,71.997,0,NA,NA,NA,1,0,
L,L2,135,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,2009,3,12.67,1.90,18.902,56.706,0,NA,NA,NA,1,0,
L,L2,138,2008,0,NA,NA,NA,NA,NA,NA,NA,NA,2009,3,11.27,4.90,43.359,130.078,0,NA,NA,NA,1,0,
L,L2,149,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,2012,3,13.47,2.97,31.378,94.133,0,NA,NA,NA,1,0,
S,S1b,54,2005,0,NA,NA,NA,NA,NA,NA,NA,NA,2006,3,11.93,2.90,27.180,81.540,0,NA,NA,NA,1,0,
S,S1a,27,2006,0,12.00,2.45,23.091,46.181,0,NA,NA,NA,2007,3,13.87,3.03,33.036,99.107,0,NA,NA,NA,1,0,"# was 2 leaves, but assumed dormant"
S,S1b,65,2009,0,NA,NA,NA,NA,NA,NA,NA,NA,2010,3,14.30,3.87,43.427,130.282,0,NA,NA,NA,1,0,
S,S1b,54,2010,0,NA,NA,NA,NA,NA,NA,NA,NA,2011,3,16.10,3.63,45.943,137.830,0,NA,NA,NA,1,0,
S,S2,1,2006,0,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,11.03,1.93,16.753,50.260,0,NA,NA,NA,1,0,
L,L1,56,2003,1,9.75,1.10,8.423,8.423,0,NA,NA,NA,2004,3,8.93,1.30,9.121,27.363,0,NA,NA,NA,1,0,
L,L1,81,2005,1,11.10,2.10,18.308,18.308,0,NA,NA,NA,2006,3,11.97,3.53,33.208,99.625,0,NA,NA,NA,1,0,
L,L1,47,2007,1,9.10,3.30,23.586,23.586,0,NA,NA,NA,2008,3,6.30,2.03,10.061,30.183,0,NA,NA,NA,1,0,
L,L1,96,2008,1,13.00,2.30,23.483,23.483,0,NA,NA,NA,2009,3,9.57,2.20,16.530,49.590,0,NA,NA,NA,1,0,
L,L1,108,2009,1,10.40,2.20,17.970,17.970,0,NA,NA,NA,2010,3,11.30,2.37,21.004,63.012,0,NA,NA,NA,1,0,
L,L2,152,2005,1,13.10,2.40,24.693,24.693,0,NA,NA,NA,2006,3,13.40,2.10,22.101,66.303,0,NA,NA,NA,1,0,
L,L2,202,2006,1,10.70,2.40,20.169,20.169,0,NA,NA,NA,2007,3,8.40,2.27,14.954,44.862,0,NA,NA,NA,1,0,
L,L2,153,2007,1,13.00,3.60,36.757,36.757,0,NA,NA,NA,2008,3,14.53,4.13,47.180,141.539,0,NA,NA,NA,1,0,
L,L2,210,2007,1,11.40,1.80,16.116,16.116,0,NA,NA,NA,2008,3,11.00,1.00,8.639,25.918,0,NA,NA,NA,1,0,
L,L2,233,2008,1,14.20,3.10,34.573,34.573,0,NA,NA,NA,2009,3,12.77,2.67,26.738,80.215,0,NA,NA,NA,1,0,
L,L2,243,2008,1,9.60,0.90,6.786,6.786,0,NA,NA,NA,2009,3,6.73,2.50,13.221,39.663,0,NA,NA,NA,1,0,
L,L2,256,2008,1,6.90,0.80,4.335,4.335,0,NA,NA,NA,2009,3,10.77,2.97,25.086,75.259,0,NA,NA,NA,1,0,
L,L2,260,2008,1,8.40,1.10,7.257,7.257,0,NA,NA,NA,2009,3,7.83,2.63,16.201,48.603,0,NA,NA,NA,1,0,
L,L2,263,2008,1,7.10,1.00,5.576,5.576,0,NA,NA,NA,2009,3,6.00,1.70,8.011,24.033,0,NA,NA,NA,1,0,
L,L2,277,2009,1,13.20,3.00,31.102,31.102,0,NA,NA,NA,2010,3,10.50,3.33,27.489,82.467,0,NA,NA,NA,1,0,
L,L2,279,2009,1,11.10,1.10,9.590,9.590,0,NA,NA,NA,2010,3,9.00,1.80,12.723,38.170,0,NA,NA,NA,1,0,
L,L2,267,2010,1,7.30,1.00,5.733,5.733,0,NA,NA,NA,2011,3,7.30,1.40,8.027,24.080,0,NA,NA,NA,1,0,
L,L2,327,2010,1,12.00,2.80,26.389,26.389,0,NA,NA,NA,2011,3,8.63,2.27,15.369,46.108,0,NA,NA,NA,1,0,
L,L2,339,2010,1,11.10,1.60,13.949,13.949,0,NA,NA,NA,2011,3,6.33,1.67,8.290,24.871,0,NA,NA,NA,1,0,
L,L2,353,2010,1,8.30,2.10,13.689,13.689,0,NA,NA,NA,2011,3,8.47,1.67,11.083,33.249,0,NA,NA,NA,1,0,
L,L2,396,2011,1,7.30,1.60,9.173,9.173,0,NA,NA,NA,2012,3,8.80,2.00,13.823,41.469,0,NA,NA,NA,1,0,
L,L2,398,2011,1,7.90,2.10,13.030,13.030,0,NA,NA,NA,2012,3,9.83,2.43,18.793,56.378,0,NA,NA,NA,1,0,
L,L2,220,2012,1,7.40,3.30,19.179,19.179,0,NA,NA,NA,2013,3,9.90,2.90,22.549,67.646,0,NA,NA,NA,1,0,
