"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Year_t1","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","comments","Ant_sp_t","Ant_sp_t1"
"47","T2","AD17",0,2004,92,67,67,14,13,13,0,10,2005,0,1,94,64,32,8,0,0,NA,12,"","liom","liom"
"48","T2","AD18",0,2004,124,61,61,21,19,19,0,0,2005,0,1,128,95,70,21,22,23,1,18,"","vacant","liom"
"49","T2","AD19",0,2004,122,48,48,3,22,26,4,0,2005,0,1,126,47,36,3,5,5,0,12,"","vacant","liom"
"50","T2","AD22",0,2004,82,80,80,4,10,12,2,0,2005,0,1,82,72,65,6,4,4,0,26,"","vacant","liom"
"51","T2","AD23",0,2004,170,122,122,11,28,29,1,11,2005,0,1,145,137,98,14,9,9,0,16,"","liom","liom"
"52","T2","AD24",0,2004,140,79,79,7,10,10,0,33,2005,0,1,153,93,54,11,7,7,0,27,"","liom","liom"
"53","T2","AD28",0,2004,90,57,57,8,1,1,0,4,2005,0,1,117,60,53,9,15,17,2,50,"","crem","crem"
"54","T2","AD29",0,2004,99,77,77,7,11,11,0,0,2005,0,1,95,90,47,12,3,4,1,9,"","vacant","liom"
"55","T2","AD3",0,2004,113,55,55,4,12,12,0,32,2005,0,1,116,49,42,3,1,1,0,16,"","liom","liom"
"56","T2","AD30",0,2004,114,70,70,18,10,11,1,0,2005,0,1,124,72,42,8,12,13,1,21,"","vacant","liom"
"57","T2","AD6",0,2004,66,93,93,10,13,13,0,50,2005,0,1,78,58,54,12,4,6,2,38,"","liom","liom"
"58","T2","AD7",0,2004,170,85,85,10,10,11,1,11,2005,0,1,173,93,55,27,8,11,3,18,"","liom","liom"
"59","T2","AD9",0,2004,85,64,64,3,13,13,0,0,2005,0,1,86,73,36,5,4,4,0,13,"","vacant","liom"
"60","T2","LJ10",0,2004,67,49,49,2,0,0,NA,0,2005,0,1,72,36,21,1,0,0,NA,0,"","vacant","vacant"
"61","T2","LJ11",0,2004,57,19,19,3,0,0,NA,19,2005,0,1,70,32,18,2,0,0,NA,2,"","crem","liom"
"62","T2","LJ12",0,2004,57,63,63,8,0,0,NA,0,2005,0,1,68,48,28,3,0,0,NA,4,"","vacant","other"
"63","T2","LJ14",0,2004,62,48,48,8,0,0,NA,0,2005,0,1,57,59,33,8,0,0,NA,1,"","vacant","liom"
"64","T2","LJ17",0,2004,57,56,56,14,0,0,NA,6,2005,0,1,74,60,45,11,0,0,NA,27,"","liom","crem"
"65","T2","LJ2",0,2004,52,43,43,9,0,0,NA,27,2005,0,1,60,44,33,5,0,0,NA,53,"","other","liom"
"66","T2","LJ5",0,2004,60,65,65,11,0,0,NA,11,2005,0,1,75,62,50,13,0,1,1,0,"","crem","vacant"
"67","T2","LJ6",0,2004,58,64,64,17,0,0,NA,0,2005,0,1,68,70,56,11,7,7,0,0,"","vacant","vacant"
"68","T2","LJ7",0,2004,124,104,104,9,0,3,3,38,2005,0,1,140,87,74,12,7,7,0,18,"","liom","liom"
"69","T2","LJ9",0,2004,54,53,53,7,0,0,NA,0,2005,0,1,56,41,22,6,0,0,NA,0,"","vacant","vacant"
"70","T2","SJ1",0,2004,38,24,24,5,0,0,NA,0,2005,0,1,30,26,12,1,0,0,NA,0,"","vacant","vacant"
"71","T2","SJ10",0,2004,15,12,12,3,0,0,NA,0,2005,0,1,20,14,7,4,0,0,NA,0,"","vacant","vacant"
"72","T2","SJ12",0,2004,17,14,14,1,0,0,NA,0,2005,0,1,35,17,11,2,0,0,NA,0,"","vacant","vacant"
"73","T2","SJ13",0,2004,23,22,22,5,0,0,NA,0,2005,0,1,24,20,15,1,0,0,NA,0,"","vacant","vacant"
"74","T2","SJ14",0,2004,20,10,10,2,0,0,NA,0,2005,0,1,29,13,4,0,0,0,NA,0,"","vacant","vacant"
"75","T2","SJ16",0,2004,27,13,13,2,0,0,NA,0,2005,0,1,30,18,15,4,0,0,NA,0,"","vacant","vacant"
"76","T2","SJ17",0,2004,22,13,13,6,0,0,NA,0,2005,0,1,21,15,14,0,0,0,NA,0,"","vacant","vacant"
"77","T2","SJ2",0,2004,22,19,19,1,0,0,NA,0,2005,0,1,25,18,9,3,0,0,NA,11,"","vacant","liom"
"78","T2","SJ3",0,2004,13,3,3,2,0,0,NA,0,2005,0,1,16,2,2,0,0,0,NA,0,"","vacant","vacant"
"79","T2","SJ9",0,2004,26,17,17,4,0,0,NA,2,2005,0,1,32,21,13,4,0,0,NA,6,"","crem","crem"
"80","T3","AD1",0,2004,102,63,63,18,7,7,0,2,2005,0,1,114,66,29,6,22,23,1,3,"","liom","other"
"81","T3","AD10",0,2004,94,79,79,24,19,24,5,22,2005,0,1,97,89,52,20,4,5,1,12,"","liom","liom"
"82","T3","AD13",0,2004,87,92,92,19,17,18,1,0,2005,0,1,88,85,49,14,8,8,0,0,"","vacant","vacant"
"83","T3","AD15",0,2004,82,62,62,17,2,2,0,0,2005,0,1,79,69,48,12,0,0,NA,0,"","vacant","vacant"
"84","T3","AD17",0,2004,83,100,100,10,30,30,0,0,2005,0,1,98,98,45,26,1,4,3,1,"","vacant","liom"
"85","T3","AD18",0,2004,148,88,88,18,9,9,0,4,2005,0,1,132,83,47,13,8,8,0,7,"","liom","liom"
"86","T3","AD19",0,2004,85,68,68,5,27,27,0,0,2005,0,1,89,54,30,9,7,7,0,17,"","vacant","liom"
"87","T3","AD20",0,2004,67,63,63,8,7,10,3,0,2005,0,1,92,51,40,7,16,18,2,2,"","vacant","liom"
"88","T3","AD21",0,2004,102,86,86,14,14,14,0,0,2005,0,1,97,72,58,9,6,6,0,0,"","vacant","vacant"
"89","T3","AD22",0,2004,89,37,37,10,9,10,1,0,2005,0,1,95,41,36,4,4,4,0,0,"","vacant","vacant"
"90","T3","AD24",0,2004,100,85,85,5,13,18,5,0,2005,0,1,112,81,55,11,12,12,0,0,"","vacant","vacant"
"91","T3","AD25",0,2004,93,60,60,16,7,7,0,2,2005,0,1,84,64,45,5,0,0,NA,15,"","liom","liom"
"92","T3","AD28",0,2004,95,53,53,12,19,19,0,0,2005,0,1,87,55,46,11,3,5,2,0,"","vacant","vacant"
"93","T3","AD3",0,2004,90,78,78,22,31,38,7,22,2005,0,1,97,96,87,27,20,25,5,45,"","liom","liom"
"94","T3","AD30",0,2004,76,63,63,8,3,3,0,12,2005,0,1,88,42,39,6,3,3,0,34,"","liom","liom"
"95","T3","AD5",0,2004,86,98,98,32,5,5,0,18,2005,0,1,89,83,69,13,7,12,5,12,"","liom","liom"
"96","T3","AD6",0,2004,100,61,61,13,25,25,0,36,2005,0,1,105,58,50,5,10,15,5,51,"","liom","liom"
"97","T3","AD7",0,2004,130,80,80,19,25,26,1,12,2005,0,1,138,87,51,15,33,35,2,33,"","liom","liom"
"98","T3","AD8",0,2004,115,74,74,13,13,13,0,14,2005,0,1,118,74,65,17,12,13,1,25,"","liom","liom"
"99","T3","LJ13",0,2004,41,23,23,2,0,0,NA,0,2005,0,1,50,24,22,5,0,0,NA,0,"","vacant","vacant"
"100","T3","LJ14",0,2004,57,54,54,7,0,0,NA,0,2005,0,1,70,54,30,5,2,3,1,0,"","vacant","vacant"
"101","T3","LJ17",0,2004,55,43,43,8,0,0,NA,17,2005,0,1,67,52,31,11,0,0,NA,26,"","liom","liom"
"102","T3","LJ18",0,2004,73,56,56,12,0,0,NA,22,2005,0,1,90,60,31,14,0,0,NA,34,"","liom","liom"
