ID,year_t,...1,Plot,TagID,Transplant,Year_t,Height_t,Width_t,Perp_t,NS_t,Goodbuds_t,TotFlowerbuds_t,ABFlowerbuds_t,Antcount_t,Year_t1,Newplant,Survival_t1,Height_t1,Width_t1,Perp_t1,FLAG,NS_t1,Goodbuds_t1,TotFlowerbuds_t1,ABFlowerbuds_t1,Antcount_t1,comments,Ant_sp_t,Ant_sp_t1,vol_t,vol_t1,plot
15.5,2010,1375,5,15,0,2010,167,83,31,24,13,NA,NA,NA,2011,0,1,144,100,43,,0,0,NA,NA,0,NA,liom,vacant,142047.8972,192727.2845,5
15.6,2011,2072,6,15,0,2011,67,82,30,0,0,NA,NA,0,2012,0,1,68,34,16,,9,4,NA,NA,0,NA,vacant,vacant,55007.19297,11126.47398,6
15.7,2011,2146,7,15,0,2011,123,101,81,0,0,NA,NA,0,2012,0,1,131,138,114,,24,28,NA,NA,0,NA,vacant,vacant,266659.1698,544478.8476,7
15.7,2014,4261,7,15,0,2014,120,144,120,32,6,NA,0,38,2015,0,1,43,147,137,,37,35,NA,6,11,NA,liom,liom,547391.104,226993.6828,7
16.1,2013,2990,1,16,0,2013,25,28,21,2,0,NA,0,2,2014,0,1,54,71,19,,8,0,NA,0,8,NA,liom,liom,3928.627063,28627.76306,1
16.3,2015,4639,3,16,0,2015,115,113,100,24,26,NA,1,15,2016,0,1,118,146,144,,45,48,NA,0,4,NA,liom,liom,341480.3222,649511.1912,3
16.3,2011,1821,3,16,0,2011,93,151,92,0,0,NA,NA,0,2012,0,1,102,107,82,,65,10,NA,NA,9,NA,vacant,liom,359421.5652,238469.2663,3
16.3,2017,6208,3,16,0,2017,128,133,126,31,55,NA,2,43,2018,0,1,110,165,161,,19,76,NA,3,50,NA,liom,liom,561976.4715,765132.2728,3
16.4,2016,5538,4,16,0,2016,58,52,38,25,1,NA,0,7,2017,0,1,72,64,66,,18,6,NA,2,27,NA,liom,liom,30748.3381,79639.37377,4
17.1,2011,1642,1,17,0,2011,17,3,2,0,0,NA,NA,0,2012,0,1,26,15,13,,3,0,NA,NA,0,NA,vacant,vacant,27.81618495,1334.12968,1
