YEAR,site,t0,t1,repro,survival
8-Jul,7,0.6962515,0.75655913,0.116002923,1
7-Jun,6,0.696404085,0.872107675,0.116028346,1
7-Jun,3,0.701057025,0.792095386,0.116803575,1
7-Jun,6,0.702024371,NA,0,0
6-May,8,0.715937761,0.872960722,0.119282864,1
9-Aug,5,0.720192536,0.961980945,0.119991755,1
9-Aug,8,0.720260932,0.881951069,0.120003151,1
7-Jun,2,0.720357166,1.315290464,0.120019184,1
6-May,6,0.72546195,0.91843245,0.120869696,1
8-Jul,5,0.731148373,0.898598942,0.121817114,1
6-May,5,0.735719852,0.816356897,0.122578772,1
6-May,4,0.736653359,NA,0,0
9-Aug,6,0.737329926,0.714700875,0.122847027,1
5-Apr,3,0.73794317,0.864840487,0.1229492,1
5-Apr,4,0.74149767,NA,0,0
8-Jul,6,0.743362264,0.889831473,0.123852079,1
8-Jul,8,0.745322263,0.720260932,0.124178636,1
6-May,7,0.752537493,0.913544493,0.12538077,1
6-May,5,0.753236737,0.689688245,0.125497271,1
6-May,4,0.753777912,0.959932395,0.125587437,1
7-Jun,6,0.755250124,NA,0,0
9-Aug,7,0.75655913,0.627816726,0.126050817,1
8-Jul,6,0.760975256,0.737329926,0.126786591,1
8-Jul,7,0.766091754,0.825177475,0.127639054,1
6-May,5,0.769140925,1.56251383,0.128147079,1
7-Jun,1,0.770658568,0.830734069,0.128399934,1
5-Apr,2,0.770823246,1.081335857,0.128427371,1
9-Aug,7,0.774082992,0.632720728,0.12897048,1
6-May,7,0.775957457,0.975864749,0.129282786,1
7-Jun,3,0.778859924,NA,0,0
5-Apr,2,0.781534976,0.688324197,0.13021206,1
7-Jun,5,0.783753953,NA,0,0
9-Aug,5,0.790874818,0.88331467,0.131768177,1
8-Jul,3,0.792095386,0.866057174,0.131971537,1
8-Jul,8,0.792960456,1.295605301,0.132115667,1
6-May,5,0.796968953,0.878788198,0.132783525,1
7-Jun,3,0.797397235,NA,0,0
5-Apr,3,0.802444371,0.933523011,0.133695788,1
6-May,5,0.806036495,0.783753953,0.134294274,1
9-Aug,2,0.806167546,0.88018135,0.134316109,1
6-May,1,0.80835554,0.886879102,0.134680652,1
5-Apr,2,0.809743477,0.8993572,0.134911897,1
5-Apr,4,0.811055772,0.736653359,0.135130539,1
5-Apr,4,0.812143267,1.285525779,0.135311727,1
6-May,6,0.815814538,0.755250124,0.1359234,1
9-Aug,7,0.816091993,0.762775347,0.135969627,1
7-Jun,5,0.816356897,0.326817845,0.136013763,1
9-Aug,7,0.825177475,1.020304958,0.137483365,1
6-May,2,0.825342545,0.960149349,0.137510868,1
6-May,6,0.825572214,0.976783624,0.137549133,1
8-Jul,1,0.830734069,0.938833945,0.138409153,1
7-Jun,5,0.840745997,0.938141654,0.140077247,1
7-Jun,2,0.842487309,0.260517482,0.140367368,1
5-Apr,4,0.844613495,1.079185802,0.140721614,1
