"species","quad","year","genetID","allcov.0.2","allcov.2.4","allcov.4.6","allcov.6.8","allcov.8.10","allcov.10.12","allcov.12.14","allcov.14.16","allcov.16.18","allcov.18.20","allcov.20.25","allcov.25.30","allcov.30.35","allcov.35.40","allcov.40.45","allcov.45.50","allcov.50.60","allcov.60.70","allcov.70.80","allcov.80.90","allcov.90.100","allcov.100.110","allcov.110.120","allcov.120.130","allcov.130.140","allcov.140.150","allpts.0.2","allpts.2.4","allpts.4.6","allpts.6.8","allpts.8.10","allpts.10.12","allpts.12.14","allpts.14.16","allpts.16.18","allpts.18.20","allpts.20.25","allpts.25.30","allpts.30.35","allpts.35.40","allpts.40.45","allpts.45.50","allpts.50.60","allpts.60.70","allpts.70.80","allpts.80.90","allpts.90.100","allpts.100.110","allpts.110.120","allpts.120.130","allpts.130.140","allpts.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"PSSP","Q1",2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3004504932491,269.18776060059,426.797150675954,497.185554031635,378.475647515135,132.599687774769,25.2595098184518,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,1,2,3,5,3,4,8,2,6,0,1,1,0,0,1,1,0.975526265455251,0.887299486128911,0.784675374601313,0.688513153856286,0.619821462165457,0.568951198866465,0.529983274326341,0.49927418210838,0.445227511814253,0.410196574559926,0.385718134705845,0.367676779470443,0.353840839541591,0.342900038747109,0.326707850103475,0.315307815945033,0.306850771930624,0.300328820036892,0.281449471654115,0.249693014014412,0.217933349256361,0.188323266900784,0.162429720455475,0.141494334262925
"PSSP","Q1",2007,10,1.97374540229813,10.1042463088122,24.83364048546,33.0240159397155,31.1267139549584,34.0002125370634,48.8577647617087,63.6732503040447,69.349687585755,74.5803266368247,205.04914948475,165.966997330039,178.773991470186,256.713608091482,186.574757336823,179.269400848582,190.055700347819,34.8785520834615,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,1,0,3,1,1,3,6,12,4,5,0,0,0,0,0,1,1,1,1,1,0.968626132736036,0.903832658451253,0.82350647806005,0.753014963571238,0.696791160143437,0.597423179791253,0.533174877652491,0.488535396834791,0.455834095300776,0.430898861615262,0.411283097419696,0.382441611268213,0.362287441785045,0.347426243015828,0.333430655881994,0.295912698384437,0.256693283336979,0.220472487090448,0.188380030821795,0.162429720455475,0.141494334262925
"PSSP","Q1",2007,11,10.6942692604801,23.856014028362,37.5673585200021,51.3049204792154,63.6522120209045,77.571904865546,91.6106714469424,111.350609367121,117.266121459196,86.4058901090029,165.777513553059,183.991108106785,214.80920321229,202.558940878849,191.593925523936,114.582604432186,44.2124936459047,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,1,3,3,3,3,5,5,6,6,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.980047884786896,0.950216686448908,0.879923594994978,0.824802297985583,0.782471703052484,0.737779976150885,0.683993222868461,0.639128729641745,0.570740442434509,0.505609540401173,0.443639646066532,0.382968059902419,0.317560373403475,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"PSSP","Q1",2007,12,12.5643036193191,37.692910899702,62.8215181493556,87.9501254537161,110.845345675975,99.5761866452544,103.621237765822,100.624924289188,96.1109948746087,91.8189555859487,251.363216029531,256.36728262609,208.951293642838,144.918044798828,104.389554064019,19.0467262189002,0.143140570686683,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,2,4,3,2,4,2,8,3,8,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.973478182559973,0.918340580848747,0.869628237339244,0.829383668255578,0.794239233853029,0.744356017077353,0.648294451231091,0.551815453647196,0.475313955939037,0.391394436112987,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"PSSP","Q1",2007,13,2.10399519462764,14.8947494970361,28.1447328926025,38.4886619503836,44.5917955119834,53.0032433243763,64.4878723445964,71.6879664806456,65.1308861961855,57.2119260240896,191.588735293585,235.62329945541,168.558864190849,226.388062067136,216.246286728886,133.890128928314,172.525377879445,4.23917694963052,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,2,3,2,1,4,6,3,8,6,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.986166226401997,0.931194647488493,0.852838411440735,0.779984950309139,0.720743072762451,0.633130336782348,0.568184438096105,0.477419816304843,0.389672071044864,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"PSSP","Q1",2007,14,0,0,0,0,0,0,0,10.1461051846777,19.423388419009,31.004369782955,139.265034873079,142.225354561793,186.919517531935,168.976966918031,212.794954566673,239.488031370814,426.678762690811,164.844892084483,40.5988938547007,6.43948907082176,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,3,3,4,4,10,7,1,2,1,0,0,0,0,0,1,1,1,1,1,0.971879605654411,0.92541475354944,0.883046581228594,0.846745767814651,0.815976036580626,0.757431005247386,0.716575928304943,0.686680792910758,0.663934004535307,0.646075527054458,0.628958187260544,0.552097772372165,0.479958713316371,0.421975586121454,0.375269203045409,0.317809875732773,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"PSSP","Q1",2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71580732402173,27.1141056496792,221.583774568718,471.907423794636,469.65521698184,424.976028945853,151.431919954144,17.4214836908923,0,0,0,0,0,1,1,0,1,0,0,1,2,1,3,2,2,5,1,0,5,5,6,4,0,1,1,0,0,0,1,1,1,1,0.987309239270208,0.935767206742787,0.886909519869078,0.845698290985718,0.811494240652888,0.782991768671781,0.729570569695183,0.669451126114856,0.610252002263728,0.564114206644437,0.527798401792042,0.498677928293527,0.455149918447325,0.424331097972535,0.392093626678848,0.355472483716515,0.308267380990877,0.261782453927289,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"PSSP","Q1",2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8761899000499,60.7699450569604,144.095961237097,336.224108700243,508.387848024714,458.004473123014,212.625761909067,41.4137606090792,0.407712349558551,0,0,0,0,0,2,0,0,0,1,0,2,1,0,1,1,4,4,2,2,8,4,8,0,1,0,1,0,0,0,1,1,1,1,1,1,0.999999877918528,0.973978366797718,0.939264875375731,0.905941142008506,0.804000575178742,0.704145746840864,0.632740689747269,0.579899410063806,0.539449497191914,0.507592780551795,0.460783425150496,0.428154174804992,0.402882659197782,0.361211217027019,0.30901428046339,0.261948296405271,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"PSSP","Q1",2007,4,12.5643036193191,33.0265148516219,41.1743460272447,31.1472405304079,20.6476903048545,44.6466863922172,55.5692016177837,54.3655740949043,58.1252711420993,76.3829853818436,182.73308488648,194.42865978246,247.284578651867,265.837334777042,215.510991391005,123.510694791528,118.503154313108,13.3474483539969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,1,1,1,1,5,4,10,7,5,0,0,0,0,0,1,1,0.945638831440351,0.855314789375608,0.791378197806122,0.74592476407036,0.712369249658233,0.686708083055771,0.666498259340608,0.638946705417373,0.566765358660911,0.514333367074065,0.475969797680989,0.446987782817187,0.424425882807094,0.406408380652729,0.379502476667704,0.360416737755593,0.346196486373488,0.3250780160427,0.294948798271429,0.256445132876905,0.220428191960077,0.188380030821795,0.162429720455475,0.141494334262925
"PSSP","Q1",2007,5,3.05307342652986,16.1054879388603,26.3456640432314,35.4961952201886,39.4825518568377,40.9406433923562,35.2575237383921,37.2864167563958,40.1610647186485,49.6753973638225,199.536719102384,224.621688330538,238.54794223986,250.688872535074,213.302741007969,137.664225020689,196.15774682712,4.48180739088707,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,3,1,3,2,5,3,3,7,9,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.999503924889735,0.955228585351571,0.887375146453307,0.821075623625031,0.714969592895258,0.614049979567514,0.490860083342454,0.392982040679995,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
