Mortality,Site,Plot,Year,Ncol,Size,Sizenext,Survnext
Divemort,Medas,Medas4,2001-2002,540,11,9,1
Divemort,Medas,Medas4,2001-2002,541,3.5,3,1
Divemort,Medas,Medas4,2001-2002,542,67,66,1
Divemort,Medas,Medas4,2001-2002,543,63,62.5,1
Divemort,Medas,Medas4,2001-2002,544,34,34,1
Divemort,Medas,Medas4,2001-2002,545,21,20.8,1
Divemort,Medas,Medas4,2001-2002,546,1,,0
Divemort,Medas,Medas4,2001-2002,547,1.5,,0
Divemort,Medas,Medas4,2001-2002,548,3.5,3.5,1
Divemort,Medas,Medas4,2001-2002,549,35,38,1
Divemort,Medas,Medas4,2001-2002,550,14,,0
Divemort,Medas,Medas4,2001-2002,551,35,34.5,1
Divemort,Medas,Medas4,2001-2002,552,17,17,1
Divemort,Medas,Medas4,2001-2002,553,10,10.5,1
Divemort,Medas,Medas4,2001-2002,554,41,,0
Divemort,Medas,Medas4,2001-2002,555,26,25,1
Divemort,Medas,Medas4,2001-2002,567,25,25,1
Divemort,Medas,Medas4,2001-2002,568,,1,1
Divemort,Medas,Medas4,2001-2002,569,14,13.5,1
Divemort,Medas,Medas4,2001-2002,570,20,18.5,1
Divemort,Medas,Medas4,2001-2002,571,,2.5,1
Divemort,Medas,Medas4,2001-2002,572,12.5,12.5,1
Divemort,Medas,Medas4,2001-2002,573,10,10.5,1
Divemort,Medas,Medas4,2001-2002,574,31,34,1
Divemort,Medas,Medas4,2001-2002,575,35,33,1
Divemort,Medas,Medas4,2001-2002,576,30,18,1
Divemort,Medas,Medas4,2001-2002,577,22,21,1
Divemort,Medas,Medas4,2001-2002,578,35,33,1
Divemort,Medas,Medas4,2001-2002,579,14,13,1
Divemort,Medas,Medas4,2001-2002,580,22,21,1
Divemort,Medas,Medas4,2001-2002,581,15,15,1
Divemort,Medas,Medas4,2001-2002,582,90,87,1
Divemort,Medas,Medas4,2001-2002,583,,2,1
Divemort,Medas,Medas4,2001-2002,584,15,15,1
Divemort,Medas,Medas4,2001-2002,585,16,16,1
Divemort,Medas,Medas4,2001-2002,586,4,,0
Divemort,Medas,Medas4,2001-2002,587,8,13,1
Divemort,Medas,Medas4,2001-2002,588,19,19.5,1
Divemort,Medas,Medas4,2001-2002,589,31,31,1
Divemort,Medas,Medas4,2001-2002,590,5,5,1
Divemort,Medas,Medas4,2001-2002,591,8,8,1
Divemort,Medas,Medas4,2001-2002,592,28,28,1
Divemort,Medas,Medas4,2001-2002,593,8.5,8.5,1
Divemort,Medas,Medas4,2001-2002,594,22,12,1
Divemort,Medas,Medas4,2001-2002,595,12,12,1
Divemort,Medas,Medas4,2001-2002,596,4.5,4.5,1
Divemort,Medas,Medas4,2001-2002,598,27,27,1
Divemort,Medas,Medas4,2001-2002,599,16,16.5,1
Divemort,Medas,Medas4,2001-2002,600,13.5,15,1
Divemort,Medas,Medas4,2001-2002,601,24,28,1
Divemort,Medas,Medas4,2001-2002,602,11,11,1
Divemort,Medas,Medas4,2001-2002,603,22.5,25.5,1
Divemort,Medas,Medas4,2001-2002,604,26,27,1
Divemort,Medas,Medas4,2001-2002,605,22,24,1
Divemort,Medas,Medas4,2001-2002,606,12,15,1
Divemort,Medas,Medas4,2001-2002,607,23.5,13,1
Divemort,Medas,Medas4,2001-2002,608,10.5,10.5,1
Divemort,Medas,Medas4,2001-2002,609,15,16.5,1
Divemort,Medas,Medas4,2001-2002,610,15,17.5,1
Divemort,Medas,Medas4,2001-2002,611,20,24,1
Divemort,Medas,Medas4,2001-2002,612,6,6,1
Divemort,Medas,Medas4,2001-2002,613,13.5,15.8,1
Divemort,Medas,Medas4,2001-2002,614,9,9,1
Divemort,Medas,Medas4,2001-2002,615,4,4,1
Divemort,Medas,Medas4,2001-2002,616,13,14.5,1
Divemort,Medas,Medas4,2001-2002,617,22.5,16,1
Divemort,Medas,Medas4,2001-2002,618,11.5,15,1
Divemort,Medas,Medas4,2001-2002,619,50,50,1
Divemort,Medas,Medas4,2001-2002,620,18,24.5,1
Divemort,Medas,Medas4,2001-2002,621,27,27,1
Divemort,Medas,Medas4,2001-2002,622,17.5,23,1
Divemort,Medas,Medas4,2001-2002,623,26,12,1
Divemort,Medas,Medas4,2001-2002,624,20,20.5,1
Divemort,Medas,Medas4,2001-2002,625,30,19,1
Divemort,Medas,Medas4,2001-2002,626,20.5,22,1
Divemort,Medas,Medas4,2001-2002,627,2,2,1
Divemort,Medas,Medas4,2001-2002,628,29.5,32,1
Divemort,Medas,Medas4,2001-2002,629,40,34,1
Divemort,Medas,Medas4,2001-2002,630,17,17.5,1
Divemort,Medas,Medas4,2001-2002,631,13,14,1
Divemort,Medas,Medas4,2001-2002,632,5.5,7.8,1
Divemort,Medas,Medas4,2001-2002,633,3,3,1
Divemort,Medas,Medas4,2001-2002,634,8,7,1
Divemort,Medas,Medas4,2001-2002,635,2.5,2.5,1
Divemort,Medas,Medas4,2001-2002,636,32.5,33,1
Divemort,Medas,Medas4,2001-2002,637,8.5,8,1
Divemort,Medas,Medas4,2001-2002,638,3,4,1
Divemort,Medas,Medas4,2001-2002,639,41.5,41,1
Divemort,Medas,Medas4,2001-2002,640,,3,1
Divemort,Medas,Medas4,2001-2002,641,25,26.5,1
Divemort,Medas,Medas4,2001-2002,642,25,28,1
Divemort,Medas,Medas4,2001-2002,643,0.5,2,1
Divemort,Medas,Medas4,2001-2002,644,5.5,6,1
Divemort,Medas,Medas4,2001-2002,645,9,9.3,1
Divemort,Medas,Medas4,2001-2002,646,11,13.5,1
Divemort,Medas,Medas4,2001-2002,647,0.5,,0
Divemort,Medas,Medas4,2001-2002,648,9.5,9.5,1
Divemort,Medas,Medas4,2001-2002,649,6,6,1
Divemort,Medas,Medas4,2001-2002,650,6,6,1
Divemort,Medas,Medas4,2001-2002,651,8.5,10.5,1
Divemort,Medas,Medas4,2001-2002,652,6,7.5,1
Divemort,Medas,Medas4,2001-2002,653,11,16,1
Divemort,Medas,Medas4,2001-2002,654,4,,0
Divemort,Medas,Medas4,2001-2002,655,27.5,28,1
Divemort,Medas,Medas4,2001-2002,656,16.5,16.5,1
Divemort,Medas,Medas4,2001-2002,657,8.5,10,1
Divemort,Medas,Medas4,2001-2002,659,13,12.5,1
Divemort,Medas,Medas4,2001-2002,660,7,7,1
Divemort,Medas,Medas4,2001-2002,661,5,5,1
Divemort,Medas,Medas4,2001-2002,662,6,8,1
Divemort,Medas,Medas4,2001-2002,663,1.5,,0
Divemort,Medas,Medas4,2001-2002,664,2,2.5,1
Divemort,Medas,Medas4,2001-2002,665,20,20,1
Divemort,Medas,Medas4,2001-2002,666b,11.5,11.5,1
Divemort,Medas,Medas4,2001-2002,667,35,36,1
Divemort,Medas,Medas4,2001-2002,668,15,15,1
Divemort,Medas,Medas4,2001-2002,669,6,5,1
Divemort,Medas,Medas4,2001-2002,670,3.5,4,1
Divemort,Medas,Medas4,2001-2002,671,9,,0
Divemort,Medas,Medas4,2001-2002,672,16,,0
Divemort,Medas,Medas4,2001-2002,673,36,,0
Divemort,Medas,Medas4,2001-2002,674,11,12,1
Divemort,Medas,Medas4,2001-2002,675,10,10,1
Divemort,Medas,Medas4,2001-2002,676,34,35,1
Divemort,Medas,Medas4,2001-2002,677,13,13,1
Divemort,Medas,Medas4,2001-2002,678,21,25.5,1
Divemort,Medas,Medas4,2001-2002,679,18,18,1
Divemort,Medas,Medas4,2001-2002,680,18,15,1
Divemort,Medas,Medas4,2001-2002,681,,1.5,1
Divemort,Medas,Medas4,2001-2002,682,8,8,1
Divemort,Medas,Medas4,2001-2002,683,9,10,1
Divemort,Medas,Medas4,2001-2002,684,55,58,1
Divemort,Medas,Medas4,2001-2002,685,8,8,1
Divemort,Medas,Medas4,2001-2002,686,11,11,1
Divemort,Medas,Medas4,2001-2002,687,4,5,1
Divemort,Medas,Medas4,2001-2002,688,10,9,1
Divemort,Medas,Medas4,2001-2002,689,3,3,1
Divemort,Medas,Medas4,2001-2002,700,,2,1
Divemort,Medas,Medas4,2001-2002,701,,3,1
Divemort,Medas,Medas4,2001-2002,702,7,7,1
Divemort,Medas,Medas4,2001-2002,703,21,21,1
Divemort,Medas,Medas4,2001-2002,704,,3,1
Divemort,Medas,Medas4,2001-2002,705,22,18,1
Divemort,Medas,Medas4,2001-2002,706a,27,28,1
Divemort,Medas,Medas4,2001-2002,707,3,5,1
Divemort,Medas,Medas4,2001-2002,708,34,35,1
Divemort,Medas,Medas4,2001-2002,709,16,16.5,1
Divemort,Medas,Medas4,2001-2002,710,19,21.5,1
Divemort,Medas,Medas4,2001-2002,711,48,50,1
Divemort,Medas,Medas4,2001-2002,712,15.5,6,1
Divemort,Medas,Medas4,2001-2002,713,7,8,1
Divemort,Medas,Medas4,2001-2002,714,7,8,1
Divemort,Medas,Medas4,2001-2002,715,25,27.5,1
Divemort,Medas,Medas4,2001-2002,716,42,45,1
Divemort,Medas,Medas4,2001-2002,717,10.5,14,1
Divemort,Medas,Medas4,2001-2002,718,22,24,1
Divemort,Medas,Medas4,2001-2002,719,27.5,30,1
Divemort,Medas,Medas4,2001-2002,720,11,13.5,1
Divemort,Medas,Medas4,2001-2002,721,2.5,3.5,1
Divemort,Medas,Medas1,2002-2003,1,31,31,1
Divemort,Medas,Medas1,2002-2003,2,37,39.5,1
Divemort,Medas,Medas1,2002-2003,3,17,19.5,1
Divemort,Medas,Medas1,2002-2003,4,13,14,1
Divemort,Medas,Medas1,2002-2003,5,22.5,21.5,1
Divemort,Medas,Medas1,2002-2003,6,19,19.5,1
Divemort,Medas,Medas1,2002-2003,7,30,30,1
Divemort,Medas,Medas1,2002-2003,8,17,17,0
Divemort,Medas,Medas1,2002-2003,9,26,27,1
Divemort,Medas,Medas1,2002-2003,10,54,55,1
Divemort,Medas,Medas1,2002-2003,11,62,62,1
Divemort,Medas,Medas1,2002-2003,12,26.5,22.5,1
Divemort,Medas,Medas1,2002-2003,13,20,21,1
Divemort,Medas,Medas1,2002-2003,14,30,31,1
Divemort,Medas,Medas1,2002-2003,15,25,27,1
Divemort,Medas,Medas1,2002-2003,16,36.5,38,1
Divemort,Medas,Medas1,2002-2003,17,29,29.5,1
Divemort,Medas,Medas1,2002-2003,18,14,14.5,1
Divemort,Medas,Medas1,2002-2003,19,29,35,1
Divemort,Medas,Medas1,2002-2003,20,13.5,13,1
Divemort,Medas,Medas1,2002-2003,21,62.5,62,1
Divemort,Medas,Medas1,2002-2003,22,33,34,1
Divemort,Medas,Medas1,2002-2003,24,50,52,1
Divemort,Medas,Medas1,2002-2003,25,29.5,31,1
Divemort,Medas,Medas1,2002-2003,27,32.5,33,1
Divemort,Medas,Medas1,2002-2003,28,25.5,27,1
Divemort,Medas,Medas1,2002-2003,30,23,26,1
Divemort,Medas,Medas1,2002-2003,31,41,42.5,1
Divemort,Medas,Medas1,2002-2003,32,15.5,15,1
Divemort,Medas,Medas1,2002-2003,33,12,13,1
Divemort,Medas,Medas1,2002-2003,34,16.4,17,1
Divemort,Medas,Medas1,2002-2003,35,45,46,1
Divemort,Medas,Medas1,2002-2003,36,18,19,1
Divemort,Medas,Medas1,2002-2003,37,27,,0
Divemort,Medas,Medas1,2002-2003,38,31,31.5,1
Divemort,Medas,Medas1,2002-2003,39,42,42,1
Divemort,Medas,Medas1,2002-2003,40,44,44,1
Divemort,Medas,Medas1,2002-2003,41,44,46,1
Divemort,Medas,Medas1,2002-2003,42,40,44.5,1
Divemort,Medas,Medas1,2002-2003,43,30,31,1
Divemort,Medas,Medas1,2002-2003,44,39,43,1
Divemort,Medas,Medas1,2002-2003,45,40.5,41,1
Divemort,Medas,Medas1,2002-2003,46,23,25,1
Divemort,Medas,Medas1,2002-2003,47,53,56,1
Divemort,Medas,Medas1,2002-2003,48,29,33,1
Divemort,Medas,Medas1,2002-2003,49,20,20.5,1
Divemort,Medas,Medas1,2002-2003,50,8,9,1
Divemort,Medas,Medas1,2002-2003,51,11,12,1
Divemort,Medas,Medas1,2002-2003,52,35,37,1
Divemort,Medas,Medas1,2002-2003,53,21,22,1
Divemort,Medas,Medas1,2002-2003,54,51,52.5,1
Divemort,Medas,Medas1,2002-2003,55,19,21,1
Divemort,Medas,Medas1,2002-2003,56,16,16.5,1
Divemort,Medas,Medas1,2002-2003,57,8,10,1
Divemort,Medas,Medas1,2002-2003,59,19,23.5,1
Divemort,Medas,Medas1,2002-2003,60,24,24,1
Divemort,Medas,Medas1,2002-2003,61,23,23.5,1
Divemort,Medas,Medas1,2002-2003,62,34,36.5,1
Divemort,Medas,Medas1,2002-2003,63,60,65,1
Divemort,Medas,Medas1,2002-2003,64,68,68,1
Divemort,Medas,Medas1,2002-2003,65,32,31.5,1
Divemort,Medas,Medas1,2002-2003,66,52,51.5,1
Divemort,Medas,Medas1,2002-2003,67,47,48,1
Divemort,Medas,Medas1,2002-2003,68,45,44.5,1
Divemort,Medas,Medas1,2002-2003,69,36,36.5,1
Divemort,Medas,Medas1,2002-2003,70,10.5,14,1
Divemort,Medas,Medas1,2002-2003,71,24.5,24,1
Divemort,Medas,Medas1,2002-2003,72,22.5,23,1
Divemort,Medas,Medas1,2002-2003,73,3.3,4,1
Divemort,Medas,Medas1,2002-2003,74,27,26.5,1
Divemort,Medas,Medas1,2002-2003,75,23.5,25,1
Divemort,Medas,Medas1,2002-2003,76,44,44,1
Divemort,Medas,Medas1,2002-2003,77,3,4,1
Divemort,Medas,Medas1,2002-2003,78,35,38,1
Divemort,Medas,Medas1,2002-2003,79,0.5,1,1
Divemort,Medas,Medas1,2002-2003,80,14.5,16,1
Divemort,Medas,Medas1,2002-2003,81,36,37,1
Divemort,Medas,Medas1,2002-2003,82,29,30,1
Divemort,Medas,Medas1,2002-2003,83,22.5,25,1
Divemort,Medas,Medas1,2002-2003,84,13.5,16,1
Divemort,Medas,Medas1,2002-2003,85,57,55,1
Divemort,Medas,Medas1,2002-2003,86,23,,0
Divemort,Medas,Medas1,2002-2003,87,25,26.5,1
Divemort,Medas,Medas1,2002-2003,88,23,24,1
Divemort,Medas,Medas1,2002-2003,89,36,38,1
Divemort,Medas,Medas1,2002-2003,90,45,45.5,1
Divemort,Medas,Medas1,2002-2003,91,11,12,1
Divemort,Medas,Medas1,2002-2003,92,25,26,1
Divemort,Medas,Medas1,2002-2003,93,40,40,1
Divemort,Medas,Medas1,2002-2003,96,40.5,42,1
Divemort,Medas,Medas2,2002-2003,97,17.5,22,1
Divemort,Medas,Medas2,2002-2003,98,28,29,1
Divemort,Medas,Medas2,2002-2003,99,8,8,1
Divemort,Medas,Medas2,2002-2003,100,17,18.5,1
Divemort,Medas,Medas2,2002-2003,100a,,2,1
Divemort,Medas,Medas2,2002-2003,101,4.5,4,1
Divemort,Medas,Medas2,2002-2003,102,18,14,1
Divemort,Medas,Medas2,2002-2003,103,9.5,10,1
Divemort,Medas,Medas2,2002-2003,104,23.5,23.5,1
Divemort,Medas,Medas2,2002-2003,105,15,15.5,1
Divemort,Medas,Medas2,2002-2003,106,24,24,1
Divemort,Medas,Medas2,2002-2003,108,8,8,1
Divemort,Medas,Medas2,2002-2003,109,41,41,1
Divemort,Medas,Medas2,2002-2003,110,4.5,4.5,1
Divemort,Medas,Medas2,2002-2003,111,37,37,1
Divemort,Medas,Medas2,2002-2003,112,19,19,1
Divemort,Medas,Medas2,2002-2003,113,3,3,1
Divemort,Medas,Medas2,2002-2003,114,1.5,1.5,1
Divemort,Medas,Medas2,2002-2003,117,5,5,1
Divemort,Medas,Medas2,2002-2003,118,19,19,1
Divemort,Medas,Medas2,2002-2003,120,29.5,30,1
Divemort,Medas,Medas2,2002-2003,121,20,21,1
Divemort,Medas,Medas2,2002-2003,122,5,5,1
Divemort,Medas,Medas2,2002-2003,123,8,8,0
Divemort,Medas,Medas2,2002-2003,124,1.5,2,1
Divemort,Medas,Medas2,2002-2003,125,32,32,1
Divemort,Medas,Medas2,2002-2003,126,14.5,14,0
Divemort,Medas,Medas2,2002-2003,127,13,13,1
Divemort,Medas,Medas2,2002-2003,129,3,3,1
Divemort,Medas,Medas2,2002-2003,130,12,12.5,1
Divemort,Medas,Medas2,2002-2003,131,18,19,1
Divemort,Medas,Medas2,2002-2003,132,22,22.5,1
Divemort,Medas,Medas2,2002-2003,133,28,28,1
Divemort,Medas,Medas2,2002-2003,134,23,24,1
Divemort,Medas,Medas2,2002-2003,135,8,9,1
Divemort,Medas,Medas2,2002-2003,136,28.5,28,1
Divemort,Medas,Medas2,2002-2003,137,22,22.5,1
Divemort,Medas,Medas2,2002-2003,138,14,14.5,1
Divemort,Medas,Medas2,2002-2003,139,11,12,1
Divemort,Medas,Medas2,2002-2003,140,8.5,10.5,1
Divemort,Medas,Medas2,2002-2003,141,1,,0
Divemort,Medas,Medas2,2002-2003,142,15,16,1
Divemort,Medas,Medas2,2002-2003,143,4,6,1
Divemort,Medas,Medas2,2002-2003,144,22,22.5,1
Divemort,Medas,Medas2,2002-2003,145,26,31,1
Divemort,Medas,Medas2,2002-2003,146,9,12,1
Divemort,Medas,Medas2,2002-2003,147,14.5,17,1
Divemort,Medas,Medas2,2002-2003,148,30,33,1
Divemort,Medas,Medas2,2002-2003,149,29.5,30,1
Divemort,Medas,Medas2,2002-2003,150,35,35,1
Divemort,Medas,Medas2,2002-2003,151,11,13,1
Divemort,Medas,Medas2,2002-2003,152,7.5,8,1
Divemort,Medas,Medas2,2002-2003,153,8,9,1
Divemort,Medas,Medas2,2002-2003,154,24,20,1
Divemort,Medas,Medas2,2002-2003,155,15.5,16,1
Divemort,Medas,Medas2,2002-2003,156,7,8.5,1
Divemort,Medas,Medas2,2002-2003,158,19,21.5,1
Divemort,Medas,Medas2,2002-2003,159,32,34,1
Divemort,Medas,Medas2,2002-2003,161,11,11,1
Divemort,Medas,Medas2,2002-2003,162,22,20.5,1
Divemort,Medas,Medas2,2002-2003,163,11,12.5,1
Divemort,Medas,Medas2,2002-2003,164,26.5,27,1
Divemort,Medas,Medas2,2002-2003,165,15.5,18,1
Divemort,Medas,Medas2,2002-2003,166,16,13,1
Divemort,Medas,Medas2,2002-2003,167,1.5,3,1
Divemort,Medas,Medas2,2002-2003,168,32,32,1
Divemort,Medas,Medas2,2002-2003,169,32.5,29.5,1
Divemort,Medas,Medas2,2002-2003,172,25.5,25.5,1
Divemort,Medas,Medas2,2002-2003,174,16.5,16.5,1
Divemort,Medas,Medas2,2002-2003,175,6,6.5,1
Divemort,Medas,Medas2,2002-2003,176,23,22.5,1
Divemort,Medas,Medas2,2002-2003,178,14,,0
Divemort,Medas,Medas2,2002-2003,179,23,24,1
Divemort,Medas,Medas2,2002-2003,181,22,24,1
Divemort,Medas,Medas2,2002-2003,183,18,21,1
Divemort,Medas,Medas2,2002-2003,184,31.5,31,1
Divemort,Medas,Medas2,2002-2003,185,12.5,13,1
Divemort,Medas,Medas2,2002-2003,186,2,,0
Divemort,Medas,Medas2,2002-2003,187,29,33,1
Divemort,Medas,Medas2,2002-2003,188,8,11,1
Divemort,Medas,Medas2,2002-2003,189,20,19.5,1
Divemort,Medas,Medas2,2002-2003,190,12,12,1
Divemort,Medas,Medas2,2002-2003,191,2.5,,0
Divemort,Medas,Medas2,2002-2003,192,1.5,,0
Divemort,Medas,Medas2,2002-2003,193,4,5,1
Divemort,Medas,Medas2,2002-2003,194,11,9,1
Divemort,Medas,Medas2,2002-2003,195,16,17,1
Divemort,Medas,Medas2,2002-2003,196,22,21,1
Divemort,Medas,Medas2,2002-2003,197,29,32,1
Divemort,Medas,Medas2,2002-2003,198,24,24.5,1
Divemort,Medas,Medas2,2002-2003,199,15,16,1
Divemort,Medas,Medas2,2002-2003,201,24,24,1
Divemort,Medas,Medas2,2002-2003,202,13,14,1
Divemort,Medas,Medas2,2002-2003,203,24,24.5,1
Divemort,Medas,Medas2,2002-2003,205,36,36,1
Divemort,Medas,Medas2,2002-2003,206,2,2.5,1
Divemort,Medas,Medas2,2002-2003,207,1.5,3,1
Divemort,Medas,Medas2,2002-2003,207a,,0.5,1
Divemort,Medas,Medas2,2002-2003,209,1,,0
Divemort,Medas,Medas2,2002-2003,211,5,7,1
Divemort,Medas,Medas2,2002-2003,213,18,20,1
Divemort,Medas,Medas2,2002-2003,214,50.5,50,1
Divemort,Medas,Medas2,2002-2003,215,20,21,1
Divemort,Medas,Medas2,2002-2003,217,43,42,1
Divemort,Medas,Medas2,2002-2003,218,14,15,1
Divemort,Medas,Medas2,2002-2003,219,16,15,1
Divemort,Medas,Medas2,2002-2003,220,9,9.5,1
Divemort,Medas,Medas2,2002-2003,221,22.5,23,1
Divemort,Medas,Medas2,2002-2003,222,18,20,1
Divemort,Medas,Medas2,2002-2003,223,49,,0
Divemort,Medas,Medas2,2002-2003,224,7,9.5,1
Divemort,Medas,Medas2,2002-2003,225,29,29.5,1
Divemort,Medas,Medas2,2002-2003,226,13.5,15,1
Divemort,Medas,Medas2,2002-2003,227,54,56,1
Divemort,Medas,Medas3,2002-2003,228,23,23,1
Divemort,Medas,Medas3,2002-2003,229,17,18,1
Divemort,Medas,Medas3,2002-2003,230,56,60,1
Divemort,Medas,Medas3,2002-2003,231,15,16,1
Divemort,Medas,Medas3,2002-2003,232,5,5.5,1
Divemort,Medas,Medas3,2002-2003,233,8,,0
Divemort,Medas,Medas3,2002-2003,234,20.3,23,1
Divemort,Medas,Medas3,2002-2003,236,32,33.5,1
Divemort,Medas,Medas3,2002-2003,237,16,16,1
Divemort,Medas,Medas3,2002-2003,238,11,11.5,1
Divemort,Medas,Medas3,2002-2003,239,3.5,3.5,1
Divemort,Medas,Medas3,2002-2003,243,14,14,1
Divemort,Medas,Medas3,2002-2003,244,8,10.5,1
Divemort,Medas,Medas3,2002-2003,245,20,20,1
Divemort,Medas,Medas3,2002-2003,246,26.5,27.5,1
Divemort,Medas,Medas3,2002-2003,247,7,9,1
Divemort,Medas,Medas3,2002-2003,248,34,37,1
Divemort,Medas,Medas3,2002-2003,249,10,11.5,1
Divemort,Medas,Medas3,2002-2003,250,20,23,1
Divemort,Medas,Medas3,2002-2003,251,17,17.5,1
Divemort,Medas,Medas3,2002-2003,252,34,31,1
Divemort,Medas,Medas3,2002-2003,253,33.5,34,1
Divemort,Medas,Medas3,2002-2003,254,8,8.5,1
Divemort,Medas,Medas3,2002-2003,255,41,41,1
Divemort,Medas,Medas3,2002-2003,255a,,0.5,1
Divemort,Medas,Medas3,2002-2003,255b,,0.5,1
Divemort,Medas,Medas3,2002-2003,255c,,0.3,1
Divemort,Medas,Medas3,2002-2003,256,11.5,11,1
Divemort,Medas,Medas3,2002-2003,257,24.5,2.5,1
Divemort,Medas,Medas3,2002-2003,258,32.5,33.5,1
Divemort,Medas,Medas3,2002-2003,259,20,20,1
Divemort,Medas,Medas3,2002-2003,261,11,13,1
Divemort,Medas,Medas3,2002-2003,262,5,6,1
Divemort,Medas,Medas3,2002-2003,263,19,19,1
Divemort,Medas,Medas3,2002-2003,264,15,16,1
Divemort,Medas,Medas3,2002-2003,265,23.5,26,1
Divemort,Medas,Medas3,2002-2003,266,14,14,1
Divemort,Medas,Medas3,2002-2003,267,17,14,1
Divemort,Medas,Medas3,2002-2003,268,46,47,1
Divemort,Medas,Medas3,2002-2003,269,15,15.5,1
Divemort,Medas,Medas3,2002-2003,270,17,18,1
Divemort,Medas,Medas3,2002-2003,271,18,17,1
Divemort,Medas,Medas3,2002-2003,273,7.5,8.5,1
Divemort,Medas,Medas3,2002-2003,274,16.5,17,1
Divemort,Medas,Medas3,2002-2003,275,2,,0
Divemort,Medas,Medas3,2002-2003,276,13,15,1
Divemort,Medas,Medas3,2002-2003,277,15,17,1
Divemort,Medas,Medas3,2002-2003,279,7,7.5,1
Divemort,Medas,Medas3,2002-2003,280,24,22,1
Divemort,Medas,Medas3,2002-2003,281,7,,0
Divemort,Medas,Medas3,2002-2003,282,17,17,1
Divemort,Medas,Medas3,2002-2003,283,23,24,1
Divemort,Medas,Medas3,2002-2003,284,22,22,1
Divemort,Medas,Medas3,2002-2003,285,0.5,,0
Divemort,Medas,Medas3,2002-2003,286,20,20,1
Divemort,Medas,Medas3,2002-2003,287,19,20,1
Divemort,Medas,Medas3,2002-2003,288,17,17,0
Divemort,Medas,Medas3,2002-2003,289,33,36,1
Divemort,Medas,Medas3,2002-2003,290,15.5,16,1
Divemort,Medas,Medas3,2002-2003,291,0.5,1,1
Divemort,Medas,Medas3,2002-2003,292,6,6,1
Divemort,Medas,Medas3,2002-2003,293,9,10,1
Divemort,Medas,Medas3,2002-2003,294,22,23,1
Divemort,Medas,Medas3,2002-2003,296,8,9,1
Divemort,Medas,Medas3,2002-2003,297,17.5,15,1
Divemort,Medas,Medas3,2002-2003,297a,8,8,1
Divemort,Medas,Medas3,2002-2003,298,1,4,1
Divemort,Medas,Medas3,2002-2003,299,9.5,9.5,1
Divemort,Medas,Medas3,2002-2003,301,13,14,1
Divemort,Medas,Medas3,2002-2003,302,31,32,1
Divemort,Medas,Medas3,2002-2003,303,23,23.5,1
Divemort,Medas,Medas3,2002-2003,305,23,24,1
Divemort,Medas,Medas3,2002-2003,309,1.5,3,1
Divemort,Medas,Medas3,2002-2003,310,12,13,1
Divemort,Medas,Medas3,2002-2003,311,5,6,1
Divemort,Medas,Medas3,2002-2003,312,20,17,1
Divemort,Medas,Medas3,2002-2003,313,38,38,1
Divemort,Medas,Medas3,2002-2003,314,12,12,1
Divemort,Medas,Medas3,2002-2003,315,17,17,1
Divemort,Medas,Medas3,2002-2003,316,30,30,1
Divemort,Medas,Medas3,2002-2003,317,32,32,1
Divemort,Medas,Medas3,2002-2003,319,11,12,1
Divemort,Medas,Medas3,2002-2003,320,13,13,1
Divemort,Medas,Medas3,2002-2003,321,17,18,1
Divemort,Medas,Medas3,2002-2003,323,11,12,1
Divemort,Medas,Medas3,2002-2003,324,3,5,1
Divemort,Medas,Medas3,2002-2003,325,25,27,1
Divemort,Medas,Medas3,2002-2003,326,8,9,1
Divemort,Medas,Medas3,2002-2003,328,19.5,18,1
Divemort,Medas,Medas3,2002-2003,329,22,23.5,1
Divemort,Medas,Medas3,2002-2003,331,28.5,30,1
Divemort,Medas,Medas3,2002-2003,332,0.5,1.5,1
Divemort,Medas,Medas3,2002-2003,333,27.5,26,1
Divemort,Medas,Medas3,2002-2003,334,13,9,1
Divemort,Medas,Medas3,2002-2003,335,15,15.5,1
Divemort,Medas,Medas3,2002-2003,336,23,23,1
Divemort,Medas,Medas3,2002-2003,338,17,20,1
Divemort,Medas,Medas3,2002-2003,339,9,11,1
Divemort,Medas,Medas3,2002-2003,341,20,22,1
Divemort,Medas,Medas3,2002-2003,342,17.5,18,1
Divemort,Medas,Medas3,2002-2003,344,23,23.5,1
Divemort,Medas,Medas3,2002-2003,345,15.5,16.5,1
Divemort,Medas,Medas3,2002-2003,346,15,12.5,1
Divemort,Medas,Medas3,2002-2003,347,12.5,12,1
Divemort,Medas,Medas3,2002-2003,348,35,37,1
Divemort,Medas,Medas3,2002-2003,349,18,19,1
Divemort,Medas,Medas3,2002-2003,350,20,21,1
Divemort,Medas,Medas3,2002-2003,351,13,14,1
Divemort,Medas,Medas3,2002-2003,352,19,20.5,1
Divemort,Medas,Medas3,2002-2003,353,27.5,27,1
Divemort,Medas,Medas3,2002-2003,354,31,31,1
Divemort,Medas,Medas3,2002-2003,355,32.5,33.5,1
Divemort,Medas,Medas3,2002-2003,356,7,7,1
Divemort,Medas,Medas3,2002-2003,357,41.5,41,1
Divemort,Medas,Medas3,2002-2003,359,6.5,6.5,1
Divemort,Medas,Medas3,2002-2003,360,35.5,37,1
Divemort,Medas,Medas3,2002-2003,361,17.5,17.5,1
Divemort,Medas,Medas3,2002-2003,362,27,28.5,1
Divemort,Medas,Medas3,2002-2003,363,20,20,1
